Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,
afcb90ac-eea7-5d9c-9ba9-3fdee8669189,,checkpoint-status,not-started,,,TRUE,TRUE,QA,B01,Fitout,Basement,Area A,Common area,Stair area,PRE - S - Steel Stud Framing,"Window Timber studs, lintels and still installed and level"
6efff108-9ffa-571f-87ea-d8d83620a0c5,,checkpoint-status,not-started,,,TRUE,TRUE,QA,B01,Fitout,Basement,Area A,Common area,Lobby,PRE - S - Steel Stud Framing,"Window Timber studs, lintels and still installed and level"
4208aaa6-0219-52f9-8fd7-fed326308d88,,checkpoint-status,not-started,,,TRUE,TRUE,QA,B01,Fitout,Basement,Area A,Common area,Workshop,PRE - S - Steel Stud Framing,"Window Timber studs, lintels and still installed and level"
2b1d376d-5b2f-50c1-b82f-8e9dac11d460,,checkpoint-status,not-started,,,TRUE,TRUE,QA,B01,Fitout,Basement,Area A,Common area,WC,PRE - S - Steel Stud Framing,"Window Timber studs, lintels and still installed and level"
8774ed90-cc58-5003-b91e-a4c893b32840,,checkpoint-status,not-started,,,TRUE,TRUE,QA,B01,Fitout,Basement,Area E,Common area,Lobby(Near lift 3),PRE - S - Steel Stud Framing,"Window Timber studs, lintels and still installed and level"
56fbe0b3-1dcc-5b50-bd9e-8b86a92f8b17,,checkpoint-status,not-started,,,TRUE,TRUE,QA,B01,Fitout,Basement,Area E,Common area,Gardmenrs room,PRE - S - Steel Stud Framing,"Window Timber studs, lintels and still installed and level"
fdbdb479-1c47-5d3f-bbf1-ba9dbeb30899,,checkpoint-status,not-started,,,TRUE,TRUE,QA,B01,Fitout,Ground level,Area A,Common area,Swimming pool,PRE - S - Steel Stud Framing,"Window Timber studs, lintels and still installed and level"
e32c4bad-3453-5f4f-aee1-1633ce5cb3c3,,checkpoint-status,not-started,,,TRUE,TRUE,QA,B01,Fitout,Ground level,Area A,Common area,Gym,PRE - S - Steel Stud Framing,"Window Timber studs, lintels and still installed and level"
a81a34f1-8fd3-5c25-b3b8-f30049f1a0e6,,checkpoint-status,not-started,,,TRUE,TRUE,QA,B01,Fitout,Ground level,Area A,Common area,Storage,PRE - S - Steel Stud Framing,"Window Timber studs, lintels and still installed and level"
54d2eab4-cafa-542e-aa9f-3ff7461910c9,,checkpoint-status,not-started,,,TRUE,TRUE,QA,B01,Fitout,Ground level,Area A,Common area,Managers room,PRE - S - Steel Stud Framing,"Window Timber studs, lintels and still installed and level"
90ca0153-157f-51cd-8fa4-1f52d840aa03,,checkpoint-status,not-started,,,TRUE,TRUE,QA,B01,Fitout,Ground level,Area A,Common area,Ofiice Area,PRE - S - Steel Stud Framing,"Window Timber studs, lintels and still installed and level"
e0b6db4a-382f-5157-8882-0abe29ef12d0,,checkpoint-status,not-started,,,TRUE,TRUE,QA,B01,Fitout,Ground level,Area A,Common area,Sales & Meeting office,PRE - S - Steel Stud Framing,"Window Timber studs, lintels and still installed and level"
