resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Site Establishment and Safety Checklist,,,,checklist,,,OHS,,,,,,,,
,,,,step,,,DUCTWORK,,,,,,,,
Ductwork Checklist,Grille Fit-Off Checklist,,,folder-with-checklists,,,,Level 5,,,,,,,
,,,,step,,,VAV,,,,,,,,
VAV Checklist,,,,checklist,,,,VAV-9.2,,,,,,,
VAV Checklist,,,,checklist,,,,VAV-9.4,,,,,,,
VAV Checklist,,,,checklist,,,,VAV-13.4,,,,,,,
,,,,step,,,FAN,,,,,,,,
Fan Checklist,,,,checklist,,,,GEF-5.1.1,,,,,,,
Fan Checklist,,,,checklist,,,,GEF-5.1.2,,,,,,,
Fan Checklist,,,,checklist,,,,GEF-5.1.3,,,,,,,
,,,,step,,,SPLIT DX,,,,,,,,
Split DX Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,folder-with-checklists,,,,AC-5.1.1,,,,,,,
Split DX Unit Checklist,Pipework Testing Checklist,,,folder-with-checklists,,,,CU.5.1,,,,,,,
Split DX Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,folder-with-checklists,,,,AC-5.1.2,,,,,,,
Split DX Unit Checklist,Pipework Testing Checklist,,,folder-with-checklists,,,,CU.5.2,,,,,,,
Split DX Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,folder-with-checklists,,,,AC-5.1.3,,,,,,,
Split DX Unit Checklist,Pipework Testing Checklist,,,folder-with-checklists,,,,CU.5.3,,,,,,,
