Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,,,,
f7302c0d-8081-55db-b69a-ee71dd6318ab,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Penetrations,Installation,Ground,Zone 4,Grids FFF-FFE & 101-99,Please take detail photos of penetration & noteling,,,,,,,
c24899a8-1d3f-5d62-a19d-06bdcc45a28e,,checkpoint-status,not-started,,,TRUE,TRUE,Fire Register,Level B1,Zone 05,1048,Please take detail photos of penetration & noteling,,,,,,,,,
43d01241-099c-57a0-b48c-e37e00a6a075,,checkpoint-status,not-started,,,TRUE,TRUE,Fire Register,Level B1,Zone 05,1049,Please take detail photos of penetration & noteling,,,,,,,,,
abb392ed-1c42-5d97-a740-6451468ec8d4,,checkpoint-status,not-started,,,TRUE,TRUE,Fire Register,Level B1,Zone 05,1050,Please take detail photos of penetration & noteling,,,,,,,,,
c24901fb-e4c9-50d4-9298-bce5bd8257a4,,checkpoint-status,not-started,,,TRUE,TRUE,Fire Register,Level B1,Zone 05,1051,Please take detail photos of penetration & noteling,,,,,,,,,
84eb4cd2-885e-58fa-a96d-1bd39ff7746b,,checkpoint-status,not-started,,,TRUE,TRUE,Fire Register,Level B1,Zone 05,1052,Please take detail photos of penetration & noteling,,,,,,,,,
7ca5fef9-1714-5650-b082-a611903ece8d,,checkpoint-status,not-started,,,TRUE,TRUE,Fire Register,Level GF,Zone 04,1130,Please take detail photos of penetration & noteling,,,,,,,,,
41a84de1-34b0-5ad4-929d-33518b63487a,,checkpoint-status,not-started,,,TRUE,TRUE,Fire Register,Level GF,Zone 04,1131,Please take detail photos of penetration & noteling,,,,,,,,,
57aea1c2-3887-5d6b-a4fd-7960361e1a9a,,checkpoint-status,not-started,,,TRUE,TRUE,Fire Register,Level GF,Zone 04,1136,Please take detail photos of penetration & noteling,,,,,,,,,
69d8cd81-49f1-5404-a60b-869f31e207a5,,checkpoint-status,not-started,,,TRUE,TRUE,Fire Register,Level GF,Zone 04,1137,Please take detail photos of penetration & noteling,,,,,,,,,
