"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,,"site qa"
,"Rows"
,,"Site QA",,"site qa"
,"Columns"
,,"Big Ticket Items",,"big ticket items"
,,"In-Ground",,"in-ground"
,,"Penetrations",,"penetrations"
,,"Suspended Drainage",,"suspended drainage"
,,"Suspended Copper Works",,"suspended copper works"
,,"Rough In",,"rough in"
,,"Corridor",,"corridor"
,,"Fit Off",,"fit off"
,,"Commissioning",,"commissioning"

"Big Ticket Items - Detailed Progress"
,"Scope",,,"site qa"
,"Rows"
,,"Big Ticket Items","dynamic","big ticket items","site qa"
,"Columns"
,,"Sewer pump well",,"sewer pump well"
,,"Storwater pump well",,"storwater pump well"
,,"Stormwater pits",,"stormwater pits"
,,"Grease interceptor trap",,"grease interceptor trap"
,,"Conduits rain to IFC location",,"conduits rain to ifc location"
,,"Torpedo tanks",,"torpedo tanks"
,,"Stormwater detention system",,"stormwater detention system"
,,"LPOD",,"lpod"
,,"Water tap in",,"water tap in"
,,"Cold water booster pump",,"cold water booster pump"
,,"Rainwater booster pump",,"rainwater booster pump"
,,"Div valve",,"div valve"
,,"Break Tank",,"break tank"
,,"Circ pump",,"circ pump"
,,"Rainwater tank",,"rainwater tank"
,,"Main meter assembly",,"main meter assembly"

"In-Ground - Detailed Progress"
,"Scope",,,"site qa"
,"Rows"
,,"In-Ground","dynamic","in-ground","site qa"
,"Columns"
,,"Sewer pump well",,"sewer pump well"
,,"Storwater pump well",,"storwater pump well"
,,"Stormwater pits",,"stormwater pits"
,,"Grease interceptor trap",,"grease interceptor trap"
,,"Conduits rain to IFC location",,"conduits rain to ifc location"
,,"Torpedo tanks",,"torpedo tanks"
,,"Stormwater detention system",,"stormwater detention system"
,,"Pipework, material & fittings installed as per approved IFC Drawing",,"pipework, material and fittings installed as per approved ifc drawing"
,,"Pipework installation",,"pipework installation"
,,"Pipework checked for correct invert levels & gradients",,"pipework checked for correct invert levels & gradients"
,,"Book inspection with VBA for in-ground drainage",,"book inspection with vba for in-ground drainage."
,,"Ensure all backfill is in accordance to specs. & compaction reqs.",,"ensure all backfill is in accordance to specifications & compaction requirements."
,,"Test sewer",,"test sewer"
,,"Pits checked for correct invert levels & finished floor levels",,"pits checked for correct invert levels & finished floor levels"
,,"Ensure correct locations of pits",,"ensure correct locations of pits."

"Penetrations - Detailed Progress"
,"Scope",,,"site qa"
,"Rows"
,,"Penetrations","dynamic","penetrations","site qa"
,"Columns"
,,"All works to be set our as per approved IFC drawings",,"all works to be set our as per approved ifc drawings."
,,"Fire collar installation",,"fire collar installation"
,,"Cast in drains",,"cast in drains"
,,"Photos of collar end labelling referencing fire matrix",,"photos of collar end labelling referencing fire matrix if required"

"Suspended Drainage - Detailed Progress"
,"Scope",,,"site qa"
,"Rows"
,,"Suspended Drainage","dynamic","suspended drainage","site qa"
,"Columns"
,,"Pipework, material & fittings installed as per approved IFC Drawing",,"pipework, material and fittings installed as per approved ifc drawing. includes female/male/dda bathroom, kitchen"
,,"Pipework installation",,"pipework installation"
,,"Ensure acoustic lagging is installed if required to spec. & acoustic engineers report",,"ensure acoustic lagging is installed if required to specification & acoustic engineers report."
,,"Smoke seal penetrations",,"smoke seal penetrations"
