resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1005. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1006. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1007. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1008. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1009. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1010. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1011. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1012. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1013. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1014. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1015. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1016. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1017. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1018. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1019. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1020. ROOM (ACC),,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1021. STAIR 1,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1022. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1023. LIFT LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1024. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1025. HOUSE KEEPING,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1026. SERVICE LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1027. STAIR 2,,,,,,,,,,,,,,,,,
,step,,,,Level 11,,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1101. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1102. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1103. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1104. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1105. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1106. SUITE,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1108. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1109. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1110. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1111. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1112. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1113. HOUSE KEEPING,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1114. GYM CHANGING,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1115. GYM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1116. SERVICE LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1117. ROOF PLANT (ENCLOSED),,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1121. STAIR 1,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1122. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1123. LIFT LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1124. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1127. STAIR 2,,,,,,,,,,,,,,,,,
