Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Interior Painting Progress,,,,,
,Scope,,,Interior Painting,
,Rows,,,,
,,Basement 1,dynamic,Basement 1,Interior Painting
,,Fire Egress 01,dynamic,Fire Egress 01,Interior Painting
,,Ground,dynamic,Ground,Interior Painting
,,Level 1,dynamic,Level 1,Interior Painting
,,Level 2,dynamic,Level 2,Interior Painting
,,Level 3,dynamic,Level 3,Interior Painting
,,Level 4,dynamic,Level 4,Interior Painting
,,Level 5,dynamic,Level 5,Interior Painting
,,Level 6,dynamic,Level 6,Interior Painting
,,Level 7,dynamic,Level 7,Interior Painting
,,Level 8,dynamic,Level 8,Interior Painting
,,Level 9,dynamic,Level 9,Interior Painting
,,Level 10,dynamic,Level 10,Interior Painting
,,Level 11,dynamic,Level 11,Interior Painting
,Columns,,,,
,,QA - Painting,,QA - Painting,
