Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Building B08 Progress,,,,,,,,
,Scope,,,Building B08,,,,
,Rows,,,,,,,
,,Level 1 - Common Areas,dynamic,Building B08,Fitout,Level 1,Common Areas,
,,Level 1 - Apartments,dynamic,Building B08,Fitout,Level 1,Apartments,
,,Level 2 - Common Areas,dynamic,Building B08,Fitout,Level 2,Common Areas,
,,Level 2 - Corridor,dynamic,Building B08,Fitout,Level 2,Corridor,
,,Level 2 - Services,dynamic,Building B08,Fitout,Level 2,Services,
,,Level 2 - Apartments,dynamic,Building B08,Fitout,Level 2,Apartments,
,,Level 3 - Common Areas,dynamic,Building B08,Fitout,Level 3,Common Areas,
,,Level 3 - Corridor - Level 3 Area A,dynamic,Building B08,Fitout,Level 3,Corridor,Level 3 Area A
,,Level 3 - Corridor - Level 3 Area B,dynamic,Building B08,Fitout,Level 3,Corridor,Level 3 Area B
,,Level 3 - Corridor - Level 3 Area C,dynamic,Building B08,Fitout,Level 3,Corridor,Level 3 Area C
,,Level 3 - Services Areas - Level 3 Area A,dynamic,Building B08,Fitout,Level 3,Services Areas,Level 3 Area A
,,Level 3 - Services Areas - Level 3 Area B,dynamic,Building B08,Fitout,Level 3,Services Areas,Level 3 Area B
,,Level 3 - Services Areas - Level 3 Area C,dynamic,Building B08,Fitout,Level 3,Services Areas,Level 3 Area C
,,Level 3 - Apartments,dynamic,Building B08,Fitout,Level 3,Apartments,
,,Level 4 - Common Areas,dynamic,Building B08,Fitout,Level 4,Common Areas,
,,Level 4 - Common Areas - Lift Lobby 02,dynamic,Building B08,Fitout,Level 4,Common Areas,Lift Lobby 02
,,Level 4 - Common Areas - Lift Lobby 01,dynamic,Building B08,Fitout,Level 4,Common Areas,Lift Lobby 01
,,Level 4 - Corridor,dynamic,Building B08,Fitout,Level 4,Corridor,
,,Level 4 - Corridor - Level 4 Area A,dynamic,Building B08,Fitout,Level 4,Corridor,Level 4 Area A
,,Level 4 - Corridor - Level 4 Area B,dynamic,Building B08,Fitout,Level 4,Corridor,Level 4 Area B
,,Level 4 - Corridor - Level 4 Area C,dynamic,Building B08,Fitout,Level 4,Corridor,Level 4 Area C
,,Level 4 - Services Areas,dynamic,Building B08,Fitout,Level 4,Services Areas,
,,Level 4 - Services Areas - Level 4 Area A,dynamic,Building B08,Fitout,Level 4,Services Areas,Level 4 Area A
,,Level 4 - Services Areas - Level 4 Area B,dynamic,Building B08,Fitout,Level 4,Services Areas,Level 4 Area B
,,Level 4 - Services Areas - Level 4 Area C,dynamic,Building B08,Fitout,Level 4,Services Areas,Level 4 Area C
,,Level 4 - Apartments,dynamic,Building B08,Fitout,Level 4,Apartments,
,,Level 5 - Common Areas,dynamic,Building B08,Fitout,Level 5,Common Areas,
,,Level 5 - Common Areas - Lift Lobby 02,dynamic,Building B08,Fitout,Level 5,Common Areas,Lift Lobby 02
,,Level 5 - Common Areas - Lift Lobby 01,dynamic,Building B08,Fitout,Level 5,Common Areas,Lift Lobby 01
,,Level 5 - Corridor,dynamic,Building B08,Fitout,Level 5,Corridor,
,,Level 5 - Corridor - Level 5 Area A,dynamic,Building B08,Fitout,Level 5,Corridor,Level 5 Area A
,,Level 5 - Corridor - Level 5 Area B,dynamic,Building B08,Fitout,Level 5,Corridor,Level 5 Area B
,,Level 5 - Corridor - Level 5 Area C,dynamic,Building B08,Fitout,Level 5,Corridor,Level 5 Area C
,,Level 5 - Services Areas,dynamic,Building B08,Fitout,Level 5,Services Areas,
,,Level 5 - Services Areas - Level 5 Area A,dynamic,Building B08,Fitout,Level 5,Services Areas,Level 5 Area A
,,Level 5 - Services Areas - Level 5 Area B,dynamic,Building B08,Fitout,Level 5,Services Areas,Level 5 Area B
,,Level 5 - Services Areas - Level 5 Area C,dynamic,Building B08,Fitout,Level 5,Services Areas,Level 5 Area C
,,Level 5 - Apartments,dynamic,Building B08,Fitout,Level 5,Apartments,
,,Level 6 - Common Areas,dynamic,Building B08,Fitout,Level 6,Common Areas,
,,Level 6 - Corridor,dynamic,Building B08,Fitout,Level 6,Corridor,
,,Level 6 - Corridor - Level 6 Area A,dynamic,Building B08,Fitout,Level 6,Corridor,Level 6 Area A
,,Level 6 - Services Room,dynamic,Building B08,Fitout,Level 6,Services Room,
,,Level 6 - Apartments,dynamic,Building B08,Fitout,Level 6,Apartments,
,Columns,,,,,,,
,,Stopping,,Stopping,,,,
,,Painting,,Painting,,,,
