type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,F4100 Reinforced Earth Wall,,,,,,,
section,Details,,,,,,,
checkpoint,Aggregate sign off,,,,,,,
holdpoint,Sign off,,,,,,,
checkpoint,"Geogrid, fabric and drainage materials",,,,,,,
holdpoint,Sign off,,,,,,,
checkpoint,Subgrade inspection and testing,,,,,,,
holdpoint,Sign off,,,,,,,
checkpoint,Drainage installation,,,,,,,
checkpoint,"Cloth, grid and facing installation",,,,,,,
checkpoint,Granular compaction,,,,,,,
holdpoint,Sign off,,,,,,,
