"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bfd27a26-5608-47ba-8864-25a7373eb4ac","","work-in-progress","","folder","TRUE","FALSE","33kV Cable Install"
"a1ac1e59-841d-4793-b456-7017d77fed19","","pass","Ω (DEPRECATED) ITR-E-19 HV Cable Install","checklist","FALSE","FALSE","33kV Cable Install","ITR-E-19 HV Cable Install - Practice Testing "
"cebf88ee-7451-4012-a47a-b1ab43ca3a8f","","not-started","","folder","TRUE","FALSE","33kV Cable Install","Switchroom One"
"57b567da-d7b4-4681-9669-094d531d810c","","not-started","d38d792e4bd443b8940c23e1ed02c5110de084c448211a8e0249613483dac7a7","checklist","FALSE","FALSE","33kV Cable Install","Switchroom One","P0011R - 1C 185mm2 Al SCXLPE/TR-XLPE/SCXLPE/CWS/PVC MDPE"
"5e32d049-7e64-461f-adba-a50c8cbffad5","","not-started","d38d792e4bd443b8940c23e1ed02c5110de084c448211a8e0249613483dac7a7","checklist","FALSE","FALSE","33kV Cable Install","Switchroom One","P0011W - 1C 185mm2 Al SCXLPE/TR-XLPE/SCXLPE/CWS/PVC MDPE"
"14952156-ef5a-4a56-ab0a-a00d37251a16","","not-started","d38d792e4bd443b8940c23e1ed02c5110de084c448211a8e0249613483dac7a7","checklist","FALSE","FALSE","33kV Cable Install","Switchroom One","P0011B - 1C 185mm2 Al SCXLPE/TR-XLPE/SCXLPE/CWS/PVC MDPE"
"556b7fa6-e6d8-4f28-8493-a5a298546e9a","","not-started","d38d792e4bd443b8940c23e1ed02c5110de084c448211a8e0249613483dac7a7","checklist","FALSE","FALSE","33kV Cable Install","Switchroom One","P0012R - 1C 185mm2 Al SCXLPE/TR-XLPE/SCXLPE/CWS/PVC MDPE"
"9d33438f-db90-4415-a0b6-da530be6abf7","","not-started","d38d792e4bd443b8940c23e1ed02c5110de084c448211a8e0249613483dac7a7","checklist","FALSE","FALSE","33kV Cable Install","Switchroom One","P0012W - 1C 185mm2 Al SCXLPE/TR-XLPE/SCXLPE/CWS/PVC MDPE"
"428df497-a7e4-4a86-87dd-6134fbf4be1f","","not-started","d38d792e4bd443b8940c23e1ed02c5110de084c448211a8e0249613483dac7a7","checklist","FALSE","FALSE","33kV Cable Install","Switchroom One","P0012B - 1C 185mm2 Al SCXLPE/TR-XLPE/SCXLPE/CWS/PVC MDPE"
"29d0f438-19d8-4cb2-9129-7ea2c35fa9b6","","not-started","d38d792e4bd443b8940c23e1ed02c5110de084c448211a8e0249613483dac7a7","checklist","FALSE","FALSE","33kV Cable Install","Switchroom One","P0013R - 1C 185mm2 Al SCXLPE/TR-XLPE/SCXLPE/CWS/PVC MDPE"
"94dceda2-995e-4d5a-943f-ac0ce2873078","","not-started","d38d792e4bd443b8940c23e1ed02c5110de084c448211a8e0249613483dac7a7","checklist","FALSE","FALSE","33kV Cable Install","Switchroom One","P0013W - 1C 185mm2 Al SCXLPE/TR-XLPE/SCXLPE/CWS/PVC MDPE"
"8e964db4-67ff-47a0-91b0-d81b8b661000","","not-started","d38d792e4bd443b8940c23e1ed02c5110de084c448211a8e0249613483dac7a7","checklist","FALSE","FALSE","33kV Cable Install","Switchroom One","P0013B - 1C 185mm2 Al SCXLPE/TR-XLPE/SCXLPE/CWS/PVC MDPE"
"9968fc14-0c79-48f4-a2c3-d961590babbb","","not-started","d38d792e4bd443b8940c23e1ed02c5110de084c448211a8e0249613483dac7a7","checklist","FALSE","FALSE","33kV Cable Install","Switchroom One","P0014R - 1C 185mm2 Al SCXLPE/TR-XLPE/SCXLPE/CWS/PVC MDPE"
