"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"99a1db00-728e-4f09-be38-395caf8f966f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"5690c4ae-ad34-4f36-8b0c-f84cd883d634","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","ITP-001 - Sediment Control"
"2c9f3401-02e2-4d3d-a8db-60cf8cb7ce60","","checklist-sectioned","work-in-progress","CC0394 - ITP-001 - Sediment Control REV0","checklist","FALSE","FALSE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01"
"e84dfb31-233b-47dd-931c-66bafea0cba6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","ITP-002 - Site Clearing"
"e189bc7d-4c73-46e9-b3a3-8436d352547d","","checklist-sectioned","work-in-progress","CC0394 - ITP-002 - Site Clearing REV0","checklist","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 01"
"39a96707-01ba-40e0-b495-031b92a314c9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","ITP-003 - Bulk Earthworks"
"07688845-e7ca-40b2-ac32-2109f1ee93e7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","ITP-004 - Storm Water Drainage"
"18e5b2bf-f571-4f92-be4d-78e0b77a3471","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","ITP-005 - Crushed Rock Pavement Construction"
"85d7276c-b709-45fa-82e8-c47d6ea5b891","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","ITP-006 - Concrete Pavements and Crossovers"
"85f84845-77d1-464b-8a43-1b76853dcc92","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","ITP-011 - Kerb"
"0f9fca30-fa8d-4329-97f3-40e2ce1f630a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","ITP-012 - Asphalt"
"868d28e3-a54d-4e91-a892-f4c722998ec4","","folder-normal","not-started","","step","TRUE","FALSE","Demo / Training"
"e4044943-8be3-45bc-80f9-16e2241ef90e","","checklist-sectioned","not-started","CC0394 - ITP-001 - Sediment Control REV0","checklist","FALSE","FALSE","Demo / Training","SYM-EAL-001"
"d95508bd-2e6c-4cdb-8232-defbaf4c6eea","","checklist-sectioned","not-started","CC0394 - ITP-001 - Sediment Control REV0","checklist","FALSE","FALSE","Demo / Training","CC0394 - ITP-001 - Sediment Control"
