"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b8c7e395-d69f-439c-8eb6-1121447ab489","","folder-normal","fail","","step","TRUE","FALSE","Basement 2"
"8f6cad2f-2be4-47cb-b60f-63792d4ffccf","","checklist-sectioned","pass","5776cf6330ce9b12bd6acb30e012ef5e7ab71cce126a13f047bd8f5646dc9909","checklist","FALSE","FALSE","Basement 2","B2P01"
"b2de5429-07ae-4c2b-804d-ec8b078f7b19","","checklist-sectioned","pass","5776cf6330ce9b12bd6acb30e012ef5e7ab71cce126a13f047bd8f5646dc9909","checklist","FALSE","FALSE","Basement 2","B2P02"
"7a8532ed-bfa3-4c86-bdcc-963d51dab884","","checklist-sectioned","pass","63ad1e7eb63b5646d54c07728f9d44ca735b5cd88ed25bef8c1ff8c11ea1d055","checklist","FALSE","FALSE","Basement 2","B2P03"
"93a9c6fb-4321-4210-985d-185ccf26a992","","checklist-sectioned","pass","5776cf6330ce9b12bd6acb30e012ef5e7ab71cce126a13f047bd8f5646dc9909","checklist","FALSE","FALSE","Basement 2","B2P04"
"a28e2981-7174-45f2-8552-8787e9472485","","checklist-sectioned","pass","6554a18a3eb68337470a63863a13cc27313b27ac8b8c46cdc576717af67685a2","checklist","FALSE","FALSE","Basement 2","B2P05"
"2c8397d1-19a3-446a-95af-a25faafd5deb","","checklist-sectioned","pass","5776cf6330ce9b12bd6acb30e012ef5e7ab71cce126a13f047bd8f5646dc9909","checklist","FALSE","FALSE","Basement 2","B2P06"
"c29234ee-9d88-4f19-9177-9b6a633a0c94","","checklist-sectioned","pass","63ad1e7eb63b5646d54c07728f9d44ca735b5cd88ed25bef8c1ff8c11ea1d055","checklist","FALSE","FALSE","Basement 2","B2P07"
"2a8c2cb1-73d4-478e-af74-1215f0f8458a","","checklist-sectioned","fail","6554a18a3eb68337470a63863a13cc27313b27ac8b8c46cdc576717af67685a2","checklist","FALSE","FALSE","Basement 2","B2P08"
"24243ed7-0dc3-4bf5-a88d-3d500b66b648","","folder-normal","fail","","step","TRUE","FALSE","Level 1"
"310245ca-1158-4147-926d-db16ecb3bf8c","","checklist-sectioned","pass","6554a18a3eb68337470a63863a13cc27313b27ac8b8c46cdc576717af67685a2","checklist","FALSE","FALSE","Level 1","L1P02"
"b7ec8d94-2a2b-43a9-bda4-9297321fef8d","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 1","L1P03"
"5ccbe35c-e24d-40b5-b68d-b3e7d1513b5b","","checklist-sectioned","fail","63ad1e7eb63b5646d54c07728f9d44ca735b5cd88ed25bef8c1ff8c11ea1d055","checklist","FALSE","FALSE","Level 1","L1P04"
"5345f80e-3007-4d9c-8616-1aba6ea7c802","","checklist-sectioned","pass","63ad1e7eb63b5646d54c07728f9d44ca735b5cd88ed25bef8c1ff8c11ea1d055","checklist","FALSE","FALSE","Level 1","L1P05"
"751dea53-54d1-4a32-8a0a-aac77db5e156","","checklist-sectioned","pass","63ad1e7eb63b5646d54c07728f9d44ca735b5cd88ed25bef8c1ff8c11ea1d055","checklist","FALSE","FALSE","Level 1","L1P07"
"718c03a8-198b-44be-a1e0-2f1e2d018282","","folder-normal","pass","","step","TRUE","FALSE","Roof"
"1411f913-f6d9-44f6-b41f-7798c3230d55","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Roof","R-LD01"
