"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-sectioned",,"","checklist","Basement 1st Fix","",,,5,"Yes","Basement 1st Fix","09f1e57f-2e33-445e-b52d-270421434ab8"
"checkpoint-group",,"","section","Preinstall"
"checkpoint-status",,"","checkpoint","Area accessible and ready to start work "
"checkpoint-group",,"","section","Fans"
"checkpoint-status",,"","checkpoint","Fan installed "
"checkpoint-status",,"","checkpoint","Seismic bracing installed"
"checkpoint-status",,"","checkpoint","Label applied"
"checkpoint-group",,"","section","Split System Units"
"checkpoint-status",,"","checkpoint","Indoor & outdoor units installed "
"checkpoint-status",,"","checkpoint","Refrigeration pipework connected"
"checkpoint-status",,"","checkpoint","Labels applied"
"checkpoint-group",,"","section","Condensate Pipework"
"checkpoint-status",,"","checkpoint","Pipework installed to tundish by Hydraulics"
"checkpoint-status",,"","checkpoint","Tested & witnessed"
"checkpoint-status",,"","checkpoint","Insulation installed & fully encapsulates pipework for 3 m from connection"
"checkpoint-status",,"","checkpoint","Labels applied"
"checkpoint-group",,"","section","Ductwork"
"checkpoint-status",,"","checkpoint","Outside air duct installed & covered"
"checkpoint-status",,"","checkpoint","Extract air duct installed & covered"
"checkpoint-status",,"","checkpoint","Flexible ducts installed"
"checkpoint-status",,"","checkpoint","Fire dampers / fire sealants installed"
"checkpoint-status",,"","checkpoint","Access panels installed"
"checkpoint-status",,"","checkpoint","Balancing dampers installed & blade positions identifiable externally"
"checkpoint-status",,"","checkpoint","Labels applied"
"checkpoint-group",,"","section","CHW Pipework"
"checkpoint-status",,"","checkpoint","Pipework installed"
"checkpoint-status",,"","checkpoint","Isolating & isolating-regulating valves installed at floor take-offs"
"checkpoint-status",,"","checkpoint","By-passes installed"
"checkpoint-status",,"","checkpoint","Air vents & drains installed"
"checkpoint-status",,"","checkpoint","Pressure tested & witnessed"
"checkpoint-status",,"","checkpoint","Flushed and chemically treated"
"checkpoint-status",,"","checkpoint","Insulation installed & fully encapsulates pipework"
"checkpoint-status",,"","checkpoint","Labels applied"
