Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,
539a2fb5-5d28-5bbc-8ec8-9ccf4d4e36f7,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 2,201/139A,Ductwork Grilles / diffusers & boxes installed,,
daceb813-023d-5e49-8067-671e03e453a4,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 2,202/139A,Ductwork Grilles / diffusers & boxes installed,,
0683380b-ca4d-5f2d-8c94-e39777d203a3,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 2,203/139A,Ductwork Grilles / diffusers & boxes installed,,
16e534ef-13d8-57c9-8eaf-3f3c5e813f9c,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 2,204/139A,Ductwork Grilles / diffusers & boxes installed,,
5e69c46c-7f8f-5cbf-82b7-c4a0a5f89eac,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 2,205/139A,Ductwork Grilles / diffusers & boxes installed,,
ecf64a5a-f95c-5b71-8def-9cb125c091a8,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 2,206/139A,Ductwork Grilles / diffusers & boxes installed,,
da3844f0-9646-5741-bd77-70f922b74963,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 3,301/139A,Ductwork Grilles / diffusers & boxes installed,,
ef0056e7-bece-529a-93d6-9dd5bdd6cdb3,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 3,302/139A,Ductwork Grilles / diffusers & boxes installed,,
e9c09860-a4c5-5bba-87fa-9fde8cf753bd,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 3,303/139A,Ductwork Grilles / diffusers & boxes installed,,
08307104-c1b4-5133-af8e-db288d2cef48,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 3,304/139A,Ductwork Grilles / diffusers & boxes installed,,
d4cb4d40-dfd8-5c71-ab68-6d8479a291fc,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 3,305/139A,Ductwork Grilles / diffusers & boxes installed,,
71c55801-8f58-512b-a35c-9f554b1008ac,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 3,306/139A,Ductwork Grilles / diffusers & boxes installed,,
dfa81416-26f0-507b-916c-39bc06b657bb,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 3,307/139A,Ductwork Grilles / diffusers & boxes installed,,
e38178c2-db0d-5656-816f-67aef35fdbbc,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 4,401/139A,Ductwork Grilles / diffusers & boxes installed,,
b4d356e2-ca7a-5f49-b78e-ca388a5f5fb5,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 4,402/139A,Ductwork Grilles / diffusers & boxes installed,,
d6b734e5-4792-5aa3-bbcb-3cb71ce174bc,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 4,403/139A,Ductwork Grilles / diffusers & boxes installed,,
7141f4d8-b335-5b55-8f63-57796ded55a3,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 4,404/139A,Ductwork Grilles / diffusers & boxes installed,,
7604ef55-995c-5a16-b5f5-f752ee632c8d,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 4,405/139A,Ductwork Grilles / diffusers & boxes installed,,
54ffc05b-6993-52c2-9166-a5315d48d244,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 4,406/139A,Ductwork Grilles / diffusers & boxes installed,,
67321e32-54e4-53b0-8a4d-88d999ca7a7c,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 4,407/139A,Ductwork Grilles / diffusers & boxes installed,,
5fbe0eff-8b94-5654-b36b-2646b53c0e2b,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 5,501/139A,Ductwork Grilles / diffusers & boxes installed,,
b90d3810-6d19-5e97-911c-660667c32f50,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 5,502/139A,Ductwork Grilles / diffusers & boxes installed,,
20e1470e-7cf1-550b-9a60-ea01bf08a585,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 5,503/139A,Ductwork Grilles / diffusers & boxes installed,,
c1d78967-1f4f-50ff-98f0-30c8948741cd,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 5,504/139A,Ductwork Grilles / diffusers & boxes installed,,
75b6bc48-e4be-5ff5-aa0a-bb25b5b57d51,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 5,505/139A,Ductwork Grilles / diffusers & boxes installed,,
a7788fa8-086e-525d-b719-ae1171805f67,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,Second Fix,Level 5,506/139A,Ductwork Grilles / diffusers & boxes installed,,
