Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,,,,,
6a7a455f-649f-5830-98aa-f6fd8442a95d,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 9,901/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
5b00565e-5775-58e9-80a1-34517c49dd01,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 9,901/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
15abd462-330d-5f67-ab86-dfe53dd9006c,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 9,902/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
fba34ba3-7854-5c0e-b1b2-73873415e652,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 9,902/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
6826fca0-0fae-5ead-a678-c708a94185fe,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 9,903/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
1b7097d9-6e67-5d29-972c-0fd3b4efef62,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 9,903/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
d80799c7-b130-54a2-96df-abe28a9ab5f5,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 9,904/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
c434396a-dda5-524e-bfaf-bd2935885b67,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 9,904/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
3950029e-d6c2-5b70-a893-6374dc170635,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 9,905/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
08e78553-68a3-577e-94dc-ba0ae5e7c8c7,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 9,905/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
7c86c766-e63f-578e-91c1-0caf0f44e96b,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 9,906/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
f08def0c-fdf4-5cb0-a759-30752b6a700c,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 9,906/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
c6b09207-106c-5f37-ae0c-1d51f07486ae,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 9,907/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
d041fd42-8d0a-5184-8bb6-94b9b1e88776,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 9,907/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
f98e758d-33c1-514a-85cc-d22e8bfea5c4,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 10,1001/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
6bead758-0ac2-5fb7-80a8-70c2345dfd06,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 10,1001/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
b6bfb3cf-e4ce-574e-9dfe-8caaabab04cb,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 10,1002/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
77695660-10cb-583c-82f0-1a816b34b076,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 10,1002/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
9eca6d23-d64c-56e4-9d31-4b75ecad0053,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 10,1003/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
63bed6bf-d844-5306-8780-f9f78d4a6ab2,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 10,1003/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
649690a3-4e1d-57eb-b191-b50fbe367522,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 10,1004/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
b15e7f80-3182-5925-a0b1-546a2456b032,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 10,1004/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
0eb4be4b-522d-5045-8d41-b4bb4b23b9b4,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 10,1005/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
b1313b94-06bc-58fb-9a28-df146e5e67e2,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 10,1005/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
9d8c2dbc-3fff-5ba8-b42b-79e87e963226,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 10,1006/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
ac38bb62-f2a2-5de8-b3f0-1a5fbb47c254,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 10,1006/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
f8728116-0276-5e95-8398-e0555bc8b678,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 10,1007/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
9c0018e2-7c43-5b64-a8e6-56384eb40555,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 10,1007/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
ad4ff8e7-6f19-5e14-8437-c146d1b180d1,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 11,1101/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
b89bfc1e-5742-5499-ab4d-1da7884ad5f8,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 11,1101/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
4fdaebe6-a723-5b91-bb01-4810da29292f,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 11,1102/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
fb99e2fb-e1aa-53c7-b4bf-cb14b758dacb,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 11,1102/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
b3e31b2e-d5e0-535a-8d11-342411e14ac7,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 11,1103/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
ca75d4e4-4383-582c-be2c-001acbc16417,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 11,1103/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
cb7b6ead-ddf8-52d7-8e64-4a1f046b6b84,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 11,1104/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
a2b41cae-45f4-5770-9bdf-f47a83360a50,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 11,1104/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
43c7881f-742f-5db9-8e79-b2381e579289,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 11,1105/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
986f1280-fc38-5b67-b508-f1ee2b218a1a,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 11,1105/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
fa9698f4-76d7-5594-8a97-ca15d1dbfaf3,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 11,1106/139A,Other,For Studio apartment clothes dryer kit supplied and discharge cowl fitted by Icon,,,,,,,
692581e4-0bc4-59ed-9a22-3bb34e86e417,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Apartments,Building A,First Fix,Level 11,1106/139A,Other,For Studio apartments clothes dryer kit installed,,,,,,,
