"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8b19d7f2-a6bb-43f9-8a0c-ffa1cbd1cb5c","","folder-normal","fail","","step","TRUE","FALSE","Asphalt Production"
"50c44c0b-f06d-4e6e-93aa-51eefb849444","","checklist-sectioned","work-in-progress","c1f3110f9538f9fde3ecb9093262a0d1a57650aad43a866037532965b37931e3","checklist","FALSE","FALSE","Asphalt Production","221205-PB-017A ITP001 - Asphalt Production of Base Mixes"
"a87f23d6-00f1-4a62-85a9-1912187db88f","","checklist-sectioned","pass","c1f3110f9538f9fde3ecb9093262a0d1a57650aad43a866037532965b37931e3","checklist","FALSE","FALSE","Asphalt Production","221206-PB-018 ITP001 - Asphalt Production of Base Mixes"
"a80e3cf3-dac9-4907-9d8d-5da2fec6e47c","","checklist-sectioned","pass","c1f3110f9538f9fde3ecb9093262a0d1a57650aad43a866037532965b37931e3","checklist","FALSE","FALSE","Asphalt Production","221207-PB-019 ITP001 - Asphalt Production of Base Mixes"
"10717234-e933-4963-bf65-4f591d5f95b3","","checklist-sectioned","pass","c1f3110f9538f9fde3ecb9093262a0d1a57650aad43a866037532965b37931e3","checklist","FALSE","FALSE","Asphalt Production","221208-PB-020 ITP001 - Asphalt Production of Base Mixes"
"5fdf3293-3b3f-42f0-a11c-262531bf8be0","","checklist-sectioned","pass","c1f3110f9538f9fde3ecb9093262a0d1a57650aad43a866037532965b37931e3","checklist","FALSE","FALSE","Asphalt Production","221209-PB-021 ITP001 - Asphalt Production of Base Mixes"
"d46e3916-a729-481d-8d45-e11519b0cf6d","","checklist-sectioned","work-in-progress","c1f3110f9538f9fde3ecb9093262a0d1a57650aad43a866037532965b37931e3","checklist","FALSE","FALSE","Asphalt Production","221212-PB-000 ITP001 - Asphalt Production of Base Mixes"
"8e8f300f-8d04-4f7c-9756-68ab04b78c50","","checklist-sectioned","pass","c1f3110f9538f9fde3ecb9093262a0d1a57650aad43a866037532965b37931e3","checklist","FALSE","FALSE","Asphalt Production","221213-PB-022 ITP001 - Asphalt Production of Base Mixes"
"885552ee-9fc2-4c53-85e5-41ce0711346e","","checklist-sectioned","work-in-progress","c1f3110f9538f9fde3ecb9093262a0d1a57650aad43a866037532965b37931e3","checklist","FALSE","FALSE","Asphalt Production","221214-PB-000 ITP001 - Asphalt Production of Base Mixes"
"087e7c5f-48c6-4bc4-9dfc-c925f3e40c5d","","checklist-sectioned","fail","c1f3110f9538f9fde3ecb9093262a0d1a57650aad43a866037532965b37931e3","checklist","FALSE","FALSE","Asphalt Production","221215-PB-023 ITP001 - Asphalt Production of Base Mixes"
"b6589988-06fc-4d0d-b5c1-cfc33418bcd3","","checklist-sectioned","work-in-progress","c1f3110f9538f9fde3ecb9093262a0d1a57650aad43a866037532965b37931e3","checklist","FALSE","FALSE","Asphalt Production","221219-PB-027 ITP001 - Asphalt Production of Base Mixes"
