"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b21ae1a3-c892-48fe-ab44-c237c6940c2d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"2d32a65d-11cd-4b61-96ba-3be2cac30995","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 3"
"81bade76-4ba1-41bb-a908-30a47d9e67cc","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Basement 3","Set Out"
"8f214059-b0e6-4caa-b15a-f6ec137f4cc0","","checklist-flat","not-started","Soffit Insulation Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 3","Soffit Insulation Checklist"
"eedd0849-ebd4-4536-9b19-c07feb6f575e","","checklist-flat","not-started","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Basement 3","Speedpanel Checklist"
"c9d9521e-4eb2-4bc2-8596-963fc6560a96","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 2"
"9edafbba-70fc-4c85-b621-6659ca6a118c","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Basement 2","Set Out"
"5a8c6af4-867b-4836-b084-f1362c8e1039","","checklist-flat","not-started","Soffit Insulation Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 2","Soffit Insulation Checklist"
"9564351f-8997-4cf3-b4c9-313b99991867","","checklist-flat","not-started","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Basement 2","Speedpanel Checklist"
"7f1e8d1f-3606-4566-9d0a-c0c2d0c00dec","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 1"
"b95ed2c3-9760-451c-9c2b-8f648d6954e8","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Basement 1","Set Out"
"c19139df-88de-458e-bf16-f3bd9b7fc85e","","checklist-flat","not-started","Soffit Insulation Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 1","Soffit Insulation Checklist"
"29a1a361-649f-464b-a3f1-d40f2f13db7c","","checklist-flat","not-started","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Basement 1","Speedpanel Checklist"
"cf2acd2f-652c-47d9-9695-120c45034069","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ground"
"86b006aa-bfb2-4e3d-91fb-0f97ae5c107c","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Ground","Set Out"
"f14ac141-bb9b-4565-9951-9d3cb85c0a68","","checklist-flat","not-started","Soffit Insulation Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Soffit Insulation Checklist"
"f035c109-33f6-4fb2-91d7-8e624643b4da","","checklist-flat","not-started","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Ground","Speedpanel Checklist"
"30bdabbc-b483-4a31-b3de-61a2d97a49b6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 1"
"f04576eb-babd-430b-8e41-a166ae786f2f","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 1","Set Out"
"9e2426d5-9a27-4461-ad8f-08e718dc6d5c","","checklist-flat","work-in-progress","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 1","Speedpanel Checklist"
"57dac855-e9ae-4d29-9953-dc83b1eb6012","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 2"
"f2cfc939-1dc9-4a17-a0d7-2dc457655910","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 2","Set Out"
"8209a811-d98a-44af-bb37-d19e5c0981ab","","checklist-flat","work-in-progress","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 2","Speedpanel Checklist"
"4862ec9e-58b6-405d-9a5f-32f9cbf69fba","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 3"
"2a23cef6-267c-48b7-93c7-e7ca56b72ef1","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 3","Set Out"
"a0b16447-ff85-4f2b-83c4-e31917312ebc","","checklist-flat","work-in-progress","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 3","Speedpanel Checklist"
"81007ab8-2eaa-4c3d-869f-0cdd3a8c5cfa","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 4"
"9d066d7e-45d5-49e9-a1c8-09a452706dc3","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 4","Set Out"
"ddbf892b-5392-47ed-8d9f-62ab4595ae82","","checklist-flat","work-in-progress","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 4","Speedpanel Checklist"
"17370d23-a672-42fe-86bd-946888bd240e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 5"
"3fa1d5d4-36d5-4aa5-a15f-2c64105c88e3","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 5","Set Out"
"e99c4b6c-8fa8-45f7-b67e-475d2578351d","","checklist-flat","work-in-progress","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 5","Speedpanel Checklist"
"004a81e5-05f1-4147-abd5-f141cf404541","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 6"
"bdc4cbff-766d-4f24-972c-619f5b9b6e0f","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 6","Set Out"
"194f6b29-9747-4303-9d5c-08531614d942","","checklist-flat","work-in-progress","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 6","Speedpanel Checklist"
"3f10a908-bec5-4c58-bba1-7b62a9f44d66","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 7"
"4e8730e0-036b-4a54-a716-ac61475c2ba1","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 7","Set Out"
"dfe3da8f-c77e-4627-a0f3-78fa1b64209d","","checklist-flat","work-in-progress","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 7","Speedpanel Checklist"
"7033ed2b-959a-4483-87ee-7bcbe416be6d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 8"
"2dc33fb3-130c-42c9-a266-435838e237d9","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 8","Set Out"
"25ee50bc-beb3-4fdd-8b9a-cfee489822a2","","checklist-flat","work-in-progress","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 8","Speedpanel Checklist"
"32656def-7479-4c16-89a2-a9715731f5ec","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 9"
"67075940-ab23-4d43-8c65-25d8cef7f333","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 9","Set Out"
"179a55c1-da13-4a44-afdd-0899578df635","","checklist-flat","work-in-progress","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 9","Speedpanel Checklist"
"a39d5e43-1fe3-409f-b82c-e9b1bfa2d40a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 10"
"71b1679e-702d-4078-b472-5d2849e7f4a6","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 10","Set Out"
"1ec581ed-3fb9-4f2c-9918-2595e72c4f58","","checklist-flat","work-in-progress","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 10","Speedpanel Checklist"
"77c9c448-bc64-4807-8dd9-450d0ad7114a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 11"
"46d280c0-a77c-4d40-a0b8-0e03ba3d0bea","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 11","Set Out"
"2f56764e-8587-4ece-8919-49238ed8fcf3","","checklist-flat","work-in-progress","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 11","Speedpanel Checklist"
"ec89a447-3c53-4376-8749-ceb335b7d1b3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 12"
"b8e4f70d-0275-43f1-bb9a-fdff8f7ad993","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 12","Set Out"
"998191e1-515e-42d8-9384-530ed0c14d1a","","checklist-flat","work-in-progress","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 12","Speedpanel Checklist"
"fb72d328-7ed5-489c-8d74-9e4a152c410f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 13"
"5fee2883-0365-455c-a992-c0c3d06996d2","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 13","Set Out"
"da40247c-0c4d-4843-9ca8-72c4e087cf54","","checklist-flat","work-in-progress","SYS - Speedpanel Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 13","Speedpanel Checklist"
"39399e96-4236-40a1-9083-610b0bc50220","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 14"
"b19b5588-2683-4de4-8dce-85888632481d","","checklist-flat","pass","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 14","Set Out"
