Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Jet Fans,,,,,,,,,
,Scope,,,Jet Fans [L],,,,,
,Rows,,,,,,,,
,,Basement 2,grouping,Basement 2,,,,,
,,Basement 2 - JET-B2.06,,Site QA,Rough-In,Basement 2,JET-B2.06,Jet Fans [L],
,,Basement 2 - JET-B2.05,,Site QA,Rough-In,Basement 2,JET-B2.05,Jet Fans [L],
,,Basement 2 - JET-B2.04,,Site QA,Rough-In,Basement 2,JET-B2.04,Jet Fans [L],
,,Basement 2 - JET-B2.03,,Site QA,Rough-In,Basement 2,JET-B2.03,Jet Fans [L],
,,Basement 2 - JET-B2.02,,Site QA,Rough-In,Basement 2,JET-B2.02,Jet Fans [L],
,,Basement 2 - JET-B2.01,,Site QA,Rough-In,Basement 2,JET-B2.01,Jet Fans [L],
,,Basement 1,grouping,Basement 1,,,,,
,,Basement 1 - JET-B1.01,,Site QA,Rough-In,Basement 1,JET-B1.01,Jet Fans [L],
,,Basement 1 - JET-B1.02,,Site QA,Rough-In,Basement 1,JET-B1.02,Jet Fans [L],
,,Basement 1 - JET-B1.03,,Site QA,Rough-In,Basement 1,JET-B1.03,Jet Fans [L],
,,Basement 1 - JET-B1.04,,Site QA,Rough-In,Basement 1,JET-B1.04,Jet Fans [L],
,,Basement 1 - JET-B1.05,,Site QA,Rough-In,Basement 1,JET-B1.05,Jet Fans [L],
,,Basement 1 - JET-B1.06,,Site QA,Rough-In,Basement 1,JET-B1.06,Jet Fans [L],
,,Base Building,grouping,Base Building,,,,,
,,Base Building - JET-G.01,,Site QA,Rough-In,Base Building,JET-G.01,Jet Fans [L],
,,Base Building - JET-G.02,,Site QA,Rough-In,Base Building,JET-G.02,Jet Fans [L],
,,Base Building - JET-G.03,,Site QA,Rough-In,Base Building,JET-G.03,Jet Fans [L],
,Columns,,,,,,,,
,,Drawings on site are latest issue,,Are drawings on site the latest issue?,,,,,
,,Plant & equipment location installed correctly,,Are plant and equipment location installed correctly as per drawings?,,,,,
,,Model of fan correct as per Fan Schedule,,Model of the fan is correct as per latest Fan Schedule?,,,,,
,,Fan attached to ceiling structure of carpark,,Is the fan attached to the ceiling structure of the carpark with hardware appropriate to the size and weight of the units (Typically 8mm fasteners)?,,,,,
,,Correct anti-vibration mounts used,,Are the correct anti-vibration mounts being used ?,,,,,
,,Fan discharge parallel to beams,,Is the Fan discharge parallel to beams?,,,,,
,,Sufficient clearance,,Do we have sufficient Clearance?,,,,,
,,Obstruction too close?,,Is the obstruction too close?,,,,,
,,Fan installation site coordinated between trades to avoid clashes,,"Is the fan installation site coordinated between trades to avoid clashes with pipe work, signage and other obstructions?",,,,,
,,,,,,,,,
Ceiling Closure Rough In,,,,,,,,,
,Scope,,,Ceiling Closure Checklist 1 Rough In [B],,,,,
,Rows,,,,,,,,
,,BUILDING-A1 - Level-1 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A1,Level-1,Apartment Ceiling Closure,
,,BUILDING-A1 - Level-2 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A1,Level-2,Apartment Ceiling Closure,
,,BUILDING-A1 - Level-3 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A1,Level-3,Apartment Ceiling Closure,
,,BUILDING-A1 - Level 4 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A1,Level 4,Apartment Ceiling Closure,
,,BUILDING-A1 - Level 5 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A1,Level 5,Apartment Ceiling Closure,
,,BUILDING-A1 - Level 6 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A1,Level 6,Apartment Ceiling Closure,
,,BUILDING-A1 - Level 7 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A1,Level 7,Apartment Ceiling Closure,
,,BUILDING-A1 - Level 8 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A1,Level 8,Apartment Ceiling Closure,
,,BUILDING-A1 - Level 9 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A1,Level 9,Apartment Ceiling Closure,
,,BUILDING-A2 - Level-1 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A2,Level-1,Apartment Ceiling Closure,
,,BUILDING-A2 - Level-2 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A2,Level-2,Apartment Ceiling Closure,
,,BUILDING-A2 - Level-3 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A2,Level-3,Apartment Ceiling Closure,
,,BUILDING-A2 - Level-4 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A2,Level-4,Apartment Ceiling Closure,
,,BUILDING-A2 - Level-5 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A2,Level-5,Apartment Ceiling Closure,
,,BUILDING-A2 - Level-6 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A2,Level-6,Apartment Ceiling Closure,
,,BUILDING-A2 - Level-7 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A2,Level-7,Apartment Ceiling Closure,
,,BUILDING-A2 - Level-8 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A2,Level-8,Apartment Ceiling Closure,
,,BUILDING-A2 - Level-9 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-A2,Level-9,Apartment Ceiling Closure,
,,BUILDING-B1 - Ground Level - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B1,Ground Level,Apartment Ceiling Closure,
,,BUILDING-B1 - Level-1 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B1,Level-1,Apartment Ceiling Closure,
,,BUILDING-B1 - Level-2 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B1,Level-2,Apartment Ceiling Closure,
,,BUILDING-B1 - Level-3 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B1,Level-3,Apartment Ceiling Closure,
,,BUILDING-B1 - Level-4 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B1,Level-4,Apartment Ceiling Closure,
,,BUILDING-B1 - Level-5 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B1,Level-5,Apartment Ceiling Closure,
,,BUILDING-B1 - Level-6 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B1,Level-6,Apartment Ceiling Closure,
,,BUILDING-B1 - Level-7 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B1,Level-7,Apartment Ceiling Closure,
,,BUILDING-B1 - Level-8 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B1,Level-8,Apartment Ceiling Closure,
,,BUILDING-B2 - Ground Level - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B2,Ground Level,Apartment Ceiling Closure,
,,BUILDING-B2 - Level-1 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B2,Level-1,Apartment Ceiling Closure,
,,BUILDING-B2 - Level-2 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B2,Level-2,Apartment Ceiling Closure,
,,BUILDING-B2 - Level-3 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B2,Level-3,Apartment Ceiling Closure,
,,BUILDING-B2 - Level-4 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B2,Level-4,Apartment Ceiling Closure,
,,BUILDING-B2 - Level-5 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B2,Level-5,Apartment Ceiling Closure,
,,BUILDING-B2 - Level-6 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B2,Level-6,Apartment Ceiling Closure,
,,BUILDING-B2 - Level-7 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-B2,Level-7,Apartment Ceiling Closure,
,,BUILDING-C - Ground Level - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-C,Ground Level,Apartment Ceiling Closure,
,,BUILDING-C - Level-1 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-C,Level-1,Apartment Ceiling Closure,
,,BUILDING-C - Level-2 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-C,Level-2,Apartment Ceiling Closure,
,,BUILDING-C - Level-3 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-C,Level-3,Apartment Ceiling Closure,
,,BUILDING-C - Level-4 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-C,Level-4,Apartment Ceiling Closure,
,,BUILDING-C - Level-5 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-C,Level-5,Apartment Ceiling Closure,
,,BUILDING-C - Level-6 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-C,Level-6,Apartment Ceiling Closure,
,,BUILDING-C - Level-7 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-C,Level-7,Apartment Ceiling Closure,
,,BUILDING-D - Level-1 - Apartment Ceiling Closure,dynamic,Site QA,Rough-In,BUILDING-D,Level-1,Apartment Ceiling Closure,
