Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Duct Installation,,,,,,,,,
,Scope,,,,,,,,
,Rows,,,,,,,,
,,Duct Installation,grouping,Duct Installation,,,,,
,,Basement 1 - CPEF-B1.01,,Site QA,Rough-In,Basement 1,CPEF-B1.01,Duct Installation Check List [C],
,,Basement 1 - SF-B1.01,,Site QA,Rough-In,Basement 1,SF-B1.01,Duct Installation Check List [C],
,,Basement 1 - SF-B1.02,,Site QA,Rough-In,Basement 1,SF-B1.02,Duct Installation Check List [C],
,,Basement 1 - TEF-B1.01,,Site QA,Rough-In,Basement 1,TEF-B1.01,Duct Installation Check List [C],
,,Basement 1 - TEF-B1.02,,Site QA,Rough-In,Basement 1,TEF-B1.02,Duct Installation Check List [C],
,,Base Building - SF-CWP-01,,Site QA,Rough-In,Base Building,SF-CWP-01,Duct Installation Check List [C],
,,Base Building - SF-COMM-01,,Site QA,Rough-In,Base Building,SF-COMM-01,Duct Installation Check List [C],
,,Base Building - CPSF-G.01,,Site QA,Rough-In,Base Building,CPSF-G.01,Duct Installation Check List [C],
,,Base Building - CPSF-G.02,,Site QA,Rough-In,Base Building,CPSF-G.02,Duct Installation Check List [C],
,,Base Building - CPEF-G.01,,Site QA,Rough-In,Base Building,CPEF-G.01,Duct Installation Check List [C],
,,Base Building - CPSF-G.03,,Site QA,Rough-In,Base Building,CPSF-G.03,Duct Installation Check List [C],
,,Base Building - CPSF-G.04,,Site QA,Rough-In,Base Building,CPSF-G.04,Duct Installation Check List [C],
,,Base Building - PSF-01,,Site QA,Rough-In,Base Building,PSF-01,Duct Installation Check List [C],
,,Base Building - SF-G.01,,Site QA,Rough-In,Base Building,SF-G.01,Duct Installation Check List [C],
,,Base Building - CPSF-L1.01,,Site QA,Rough-In,Base Building,CPSF-L1.01,Duct Installation Check List [C],
,,Base Building - LSF-L1.02,,Site QA,Rough-In,Base Building,LSF-L1.02,Duct Installation Check List [C],
,,Base Building - SF-L1.01,,Site QA,Rough-In,Base Building,SF-L1.01,Duct Installation Check List [C],
,,Base Building - SF-L1.02,,Site QA,Rough-In,Base Building,SF-L1.02,Duct Installation Check List [C],
,,Base Building - LSF-L1.01,,Site QA,Rough-In,Base Building,LSF-L1.01,Duct Installation Check List [C],
,,Base Building - LSF-L2.03,,Site QA,Rough-In,Base Building,LSF-L2.03,Duct Installation Check List [C],
,,Base Building - LSF-L2.02,,Site QA,Rough-In,Base Building,LSF-L2.02,Duct Installation Check List [C],
,,Base Building - LSF-L2.04,,Site QA,Rough-In,Base Building,LSF-L2.04,Duct Installation Check List [C],
,,Base Building - LSF-L2.01,,Site QA,Rough-In,Base Building,LSF-L2.01,Duct Installation Check List [C],
,,Base Building - LSF-L2.05,,Site QA,Rough-In,Base Building,LSF-L2.05,Duct Installation Check List [C],
,,Base Building - LSF-L3.01,,Site QA,Rough-In,Base Building,LSF-L3.01,Duct Installation Check List [C],
,,Base Building - LSF-L3.02,,Site QA,Rough-In,Base Building,LSF-L3.02,Duct Installation Check List [C],
,,Base Building - LSF-L4.01,,Site QA,Rough-In,Base Building,LSF-L4.01,Duct Installation Check List [C],
,,Base Building - LSF-L4.02,,Site QA,Rough-In,Base Building,LSF-L4.02,Duct Installation Check List [C],
,,Base Building - LSF-L5.01,,Site QA,Rough-In,Base Building,LSF-L5.01,Duct Installation Check List [C],
,,Base Building - LSF-L5.02,,Site QA,Rough-In,Base Building,LSF-L5.02,Duct Installation Check List [C],
