"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"dae1b007-7c98-4cde-bea9-bb86e4bb636a","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"7d02cbe8-af8f-4f9f-a4ac-5c6a5a5dc427","","work-in-progress","","folder","TRUE","FALSE","Site QA","Zone 1"
"b98832cc-a70f-430b-8047-992a11d6dce0","","not-started","Add Documentation","checklist","FALSE","FALSE","Site QA","Zone 1","Z1 - Drawings"
"c0c30e92-3538-4ec4-8ac3-8d2223276da7","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Zone 1","Z1 - Floor Prep"
"985c0d5c-ad15-467c-badc-13a2b677bd07","","pass","Timber Installation","checklist","FALSE","FALSE","Site QA","Zone 1","Z1 - Timber Installation"
"82aae0b2-156e-46d9-af6c-e312cb5e0019","","pass","Carpet Installation","checklist","FALSE","FALSE","Site QA","Zone 1","Z1 - Carpet Installation"
"ed6d6024-0796-46a9-b3c4-85201c5ad609","","work-in-progress","","folder","TRUE","FALSE","Site QA","Zone 2"
"3cf258dd-53b2-4c66-9f4b-b5f2eb1a27b6","","not-started","Add Documentation","checklist","FALSE","FALSE","Site QA","Zone 2","Z2 - Drawings"
"b9500439-0f34-4d39-b708-de24e22d6f8d","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Zone 2","Z2 - Floor Prep"
"a151c0ae-6765-4a00-9634-d28bdef24953","","pass","Timber Installation","checklist","FALSE","FALSE","Site QA","Zone 2","Z2 - Timber Installation"
"3cebc23f-3ed6-4a81-8fb6-57fac9f9d6c4","","pass","Carpet Installation","checklist","FALSE","FALSE","Site QA","Zone 2","Z2 - Carpet Installation"
"18e1e63b-732c-4a09-a0a7-c2a2bca20cdb","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Zone 2","Z2 - Vinyl Installation"
"f7804870-0dd4-43fc-92e9-6b47a3e3086e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Zone 3"
"525c218d-a0bf-44bc-9d8c-d9d74055597e","","not-started","Add Documentation","checklist","FALSE","FALSE","Site QA","Zone 3","Z3 - Drawings"
"f33a1767-e604-4ce0-b570-c1aee94cd157","","pass","Floor Prep","checklist","FALSE","FALSE","Site QA","Zone 3","Z3 - Floor Prep"
"a4b06ad1-7620-44bc-a5b5-ddfef6db3648","","pass","Timber Installation","checklist","FALSE","FALSE","Site QA","Zone 3","Z3 - Timber Installation"
"2646c2d5-0b4f-4be0-94c8-cda003298774","","pass","Carpet Installation","checklist","FALSE","FALSE","Site QA","Zone 3","Z3 - Carpet Installation"
"12bb7cba-8d93-4f05-8e4a-99d1fcf5d1db","","pass","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Zone 3","Z3 - Vinyl Installation"
"f28b5ec9-d0d7-4fe6-bf76-c259a91de598","","work-in-progress","","folder","FALSE","FALSE","Variations"
"fce9d684-6a66-471b-bfaf-87f80dbbaaba","","work-in-progress","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","SI-003716"
