"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"80c1ddd1-e8ef-475d-8ba7-0a8adc295a32","","folder-normal","not-started","","step","TRUE","FALSE","North"
"6c7c2669-5fc4-4560-be17-48c8bedd5630","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","W.13"
"0f1e4399-00a6-42ca-980d-4557a8ceaa4e","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","W.12"
"7305e624-1456-4278-8115-2a96423fa1c7","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","W.11"
"e35251bb-cfe6-4e33-974b-fb2dc205ebfc","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","W.10"
"09899963-d189-4c5f-b40f-6a575dcbf0f2","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","W.09"
"c2377d30-8240-4e50-ba62-f7af5668adf5","","folder-normal","not-started","","step","TRUE","FALSE","East"
"a4f11984-4855-4b07-8f31-a19616d62077","","checklist-flat","not-started","Seismic Suite (Curtain Wall)","checklist-flat","FALSE","FALSE","East","W17.1 & D.13"
"0c7d339d-4e53-4ad8-8cf1-c5260563e7fc","","checklist-flat","not-started","Seismic Suite (Curtain Wall)","checklist-flat","FALSE","FALSE","East","W17.2 & D.11"
"4ec5d8cf-7bdc-46b7-99fc-093092fb59ff","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","East","W.21"
"a32e3aaa-fc97-4c04-9e02-643bdec00bbe","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","East","W.20"
"e21cda3e-13fb-44aa-82ba-5504e1d13877","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","East","W.19"
"ec44e473-30ce-45a4-a156-a2dcaf33fb83","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","East","W.18"
"8644aaf9-9629-4abd-92e6-4345c20a508a","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","East","W.16"
"5796a1a4-5d4d-46bf-895f-bbfe71a1ab42","","folder-normal","not-started","","step","TRUE","FALSE","South"
"4f494dac-a041-4b96-91bd-69d050a9aa52","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","W.07"
"000474a8-ef3c-4d42-9afd-6fa05d265c32","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","W.06"
"30fb483b-20cf-480c-9623-99ab36e20da0","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","W.05"
"18acf835-9313-4244-9976-0ce17dcf8cc1","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","W.03"
"38cf1bc4-d965-491c-bf04-2280b9519659","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","W.04"
"82f58068-acf8-42a2-9ef9-975f4393dd91","","folder-normal","not-started","","step","TRUE","FALSE","West"
"18c5ddcd-4fd8-4df5-af5c-f4b7ce9c02af","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","West","W.15"
"a8d4c8b4-f972-4e3f-afa4-a3d07ed83a1f","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","West","W.14"
"7a38dc94-9d72-4216-9a9c-d0486c40bb48","","checklist-flat","not-started","Seismic Suite (Curtain Wall)","checklist-flat","FALSE","FALSE","West","D.06"
"973bf2b9-7570-4da5-9849-be2e9c7f8ae0","","checklist-flat","not-started","Seismic Suite (Curtain Wall)","checklist-flat","FALSE","FALSE","West","W.08.1"
"02bf7165-dad8-411c-840a-ade0169fc6c1","","checklist-flat","not-started","Seismic Suite (Curtain Wall)","checklist-flat","FALSE","FALSE","West","W.08.2 & D.04"
"0084c93c-205f-4a3d-8acc-cffd03f13b48","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","West","W.01"
"f61bf6b1-a18a-414d-b6e2-109ab95043f2","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","West","W.02"
