type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,RSA.WP52A.FIC - Access Track,,,,,,,
section,FIELD INSPECTION CHECKLIST ACCESS TRACK,,,,,,,
checkpoint,CH and FDM clearance,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,"Identify extent of work area, clearance boundaries and any required surveying works",,,,,,,
checkpoint,Confirm Dimensions,,,,,,,
checkpoint,Clear & Grub ,,,,,,,
checkpoint,Form track profile,,,,,,,
checkpoint,Construct erosion and sediment controls,,,,,,,
checkpoint,Construct water way barriers crossings and Gullies,,,,,,,
checkpoint,Gravel cap access track (if applicable),,,,,,,
checkpoint,As Built Completed,,,,,,,
checkpoint,RSA QA Inspection,,,,,,,
holdpoint,HOLD POINT,,,,,,,
,,,,,,,,
checklist,RSA.WP52A.FIC - Grids and Fencing,,,,,,,
section,FIELD INSPECTION CHECKLIST FENCING & GRIDS,,,,,,,
checkpoint,CH & FDM Clearance,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,"Identify Work Area, boundaries of Fencing",,,,,,,
checkpoint,Inspect fencing materials,,,,,,,
checkpoint,Installation of fencing,,,,,,,
checkpoint,Concrete for base of fencing,,,,,,,
checkpoint,Fence posts caps,,,,,,,
checkpoint,Welding ,,,,,,,
checkpoint,Galvanized Painting at Welds,,,,,,,
checkpoint,Gate Chain and Carabiner Clips,,,,,,,
checkpoint,Box Out Grid Footings and Prep Site,,,,,,,
checkpoint,Inspect grid materials,,,,,,,
checkpoint,Compaction for Grid base,,,,,,,
checkpoint,Concrete Abutment / Install Base Slab (if required),,,,,,,
checkpoint,Position and Install Grid,,,,,,,
checkpoint,Install and Compact Gravel Ramps,,,,,,,
checkpoint,Attach Grid Wings to the Grid,,,,,,,
checkpoint,RSA QA inspection,,,,,,,
holdpoint,HOLD POINT,,,,,,,
,,,,,,,,
checklist,RSA.WP52A.FIC - Lease Pad,,,,,,,
section,FIELD INSPECTION CHECKLIST LEASE PADS,,,,,,,
checkpoint,CH and FDM clearance,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,"Identify work area, boundaries and survey requirement",,,,,,,
checkpoint,Evenly spread DAP fertilizer onto the topsoil prior to stripping,,,,,,,
checkpoint,Clear & Grub Topsoil and stack timber,,,,,,,
checkpoint,Lease Entry Construction ,,,,,,,
checkpoint,Lease construction,,,,,,,
checkpoint,Compaction of layers in 300mm layers,,,,,,,
checkpoint,Proof roll,,,,,,,
checkpoint,Verification of cross falls/laser set ups,,,,,,,
checkpoint,Final Trim,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,DCP Testing,,,,,,,
checkpoint,Gravel Cap (as required),,,,,,,
checkpoint,Install ESC,,,,,,,
checkpoint,Cellar Installation,,,,,,,
checkpoint,Conductor Installation – Record plumb,,,,,,,
checkpoint,Conductor cemented in place,,,,,,,
checkpoint,4 x cattle panels to be installed,,,,,,,
checkpoint,Well signage and Pipeline entry mark completed,,,,,,,
checkpoint,As Built Completed,,,,,,,
checkpoint,RSA supervisor inspection,,,,,,,
holdpoint,HOLD POINT,,,,,,,
,,,,,,,,
checklist,RSA.WP52A.FIC - Preliminary,,,,,,,
section,FIELD INSPECTION CHECKLIST PRELIMINARY,,,,,,,
checkpoint,"Access documentation of relevant ATW, LARs/PTA, Cultural Heritage, Clearance Request",,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,Mobilisation of Machinery & Fit for Purpose inspection,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,Gravel Compliance,,,,,,,
