"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"76357d2d-19ce-4c70-a83c-f3d5e37f2c9f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacture QA"
"ef3f8fee-e6f0-4a5e-b52b-31b88e7d2324","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Ground Level"
"37810c90-1c7a-4321-9ce6-c7354b4f84ea","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Ground Level","Panel"
"5d11db97-61a8-460e-927d-3ce63ab09059","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-01"
"d89671d9-4349-41f9-9f86-53706775c041","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-02"
"73184073-93bb-49bc-8a9c-4710d4108909","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-03"
"1767abe7-ddad-428c-929b-9a73986518f4","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-04"
"20ed56bc-ab24-4244-be81-b7a571579686","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-05"
"e7e61448-d350-42c4-9d7f-9bcc3961b6b9","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-06"
"67934bb9-018f-4122-9798-768671a679d4","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-07"
"64e4be01-7864-459d-95ea-15e690d49b06","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-08"
"de38cc2b-04c5-49c9-940d-29b38d73fab1","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-09"
"4c2fd969-65a8-4147-8a8b-287a11ed66be","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-10"
"84069370-0746-4511-81a4-127a68dff0c8","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-11"
"d49b9324-1f5d-4598-8a3d-661006c6a329","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-12"
"276ad704-6a2c-4a1d-99b7-9a1d0a49eb16","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-13"
"2690b118-fade-4791-9fd0-4a2aa3dd11e9","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-14"
"e4d742c4-2eda-4c55-800c-10cbfa642d75","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-15"
"7f16aaca-47a4-4cc0-8f5b-0d4245c14f3e","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-16"
"1119c3b4-48b9-4eec-8219-9dcd058ec523","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-17"
"4a40a129-56c4-4959-ad9a-e99a3259927d","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-18"
"7b89febc-f76e-4d0a-9135-b03e5517b436","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-19"
"aabed20a-1ad7-4101-bc45-4e5d0ab83806","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-20"
"5042e154-ea0a-4c2b-8f38-38eb7d2acf10","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-21"
"6e27b81b-10ce-4812-9f2c-0372b89a77c6","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-22"
"96e688db-1fdc-4eea-bb60-d42e478d2392","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-23"
"43fdcca6-b90b-46fd-8fe9-6968ee76b34f","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-24"
"58ad2080-d98d-4bca-b133-e3f73343acef","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-25"
"1bb8d0a6-63d5-43a9-b006-9f68187ea254","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-26"
