Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,
51e53f8f-df03-4035-b08c-0706af3ba10a,,checklist-flat,not-started,UQ Testing - Potable Water - 1500kpa water test (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Ground,TH01,UQ Testing - Potable Water - 1500kpa water test (not an air test),,,,,,
1b191843-e21f-4248-8f1f-985e14338bc3,,checklist-flat,not-started,UQ Testing - Potable Water - 1500kpa water test (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Ground,TH02,UQ Testing - Potable Water - 1500kpa water test (not an air test),,,,,,
b6d9b0fb-df27-4aac-9748-43e10de2dad9,,checklist-flat,not-started,UQ Testing - Potable Water - 1500kpa water test (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Ground,TH03,UQ Testing - Potable Water - 1500kpa water test (not an air test),,,,,,
02d8a307-eaea-4946-ac9f-460611fac9d4,,checklist-flat,not-started,UQ Testing - Potable Water - 1500kpa water test (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Ground,TH04,UQ Testing - Potable Water - 1500kpa water test (not an air test),,,,,,
bb74142f-f6cc-4388-af86-1ea2be44b9ba,,checklist-flat,not-started,UQ Testing - Potable Water - 1500kpa water test (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Ground,TH05,UQ Testing - Potable Water - 1500kpa water test (not an air test),,,,,,
e49f88b2-e8d4-4141-907f-9c3344ee7ff5,,checklist-flat,not-started,UQ Testing - Potable Water - 1500kpa water test (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 1,106,UQ Testing - Potable Water - 1500kpa water test (not an air test),,,,,,
7c1f1fc8-b567-4db6-a65f-45188849956c,,checklist-flat,not-started,UQ Testing - Potable Water - 1500kpa water test (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 1,107,UQ Testing - Potable Water - 1500kpa water test (not an air test),,,,,,
17837a3e-613b-4708-88eb-1e8bba8635d5,,checklist-flat,not-started,UQ Testing - Potable Water - 1500kpa water test (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 1,108,UQ Testing - Potable Water - 1500kpa water test (not an air test),,,,,,
17fc5a9a-4628-4486-9231-38008ca33919,,checklist-flat,not-started,UQ Testing - Potable Water - 1500kpa water test (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 1,109,UQ Testing - Potable Water - 1500kpa water test (not an air test),,,,,,
f9c9682c-f338-4260-a5dd-932d41848907,,checklist-flat,not-started,UQ Testing - Potable Water - 1500kpa water test (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,208,UQ Testing - Potable Water - 1500kpa water test (not an air test),,,,,,
