Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,,
94ba75b8-ac8e-4ed0-8eec-505093062ea5,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,219,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
c82d085e-ebc3-4a47-b0ca-7d8d7c899ba4,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,220,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
4e74566b-d842-44c1-bf6e-654d1336d160,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,221,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
f74bcd72-2ed8-47c0-babe-086f7b991e3d,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,222,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
59f29219-f8fe-4c3c-81e0-45b17841a7ca,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,223,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
467d05b0-0d89-4051-9b62-5eed96c6cd4b,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,224,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
5dfdcb5e-03d3-41c8-ac6a-d065aa4b96ff,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,225,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
ca73af45-2560-4318-ba17-f2960316f9d0,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,201,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
0865c383-ec05-4678-a381-bb63169d89f5,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,202,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
633b53af-a4da-4668-ba44-c20e2fc68bff,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,203,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
43ba3ce8-5290-4467-aa3a-81a526de601d,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,204,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
