resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
,step,,,Site QA,,,,,,,,,,
,step,,,,Tower D,,,,,,,,,
,step,,,,,Level 1,,,,,,,,
,step,,,,,,D01.01,,,,,,,
,step,,,,,,,Bathroom,,,,,,
Wall Checklist,checklist,,,,,,,,Wall,,,,,
Floor Checklist,checklist,,,,,,,,Floor,,,,,
Kitchen Floor Checklist,checklist,,,,,,,Kitchen Floor,,,,,,
,step,,,,,,,Laundry,,,,,,
Splashback Checklist,checklist,,,,,,,,Splashback,,,,,
Floor / Skirting,checklist,,,,,,,,Floor / Skirting,,,,,
Floor Checklist,checklist,,,,,,,Balcony Floor,,,,,,
,step,,,,,,D01.02,,,,,,,
,step,,,,,,,Bathroom,,,,,,
Wall Checklist,checklist,,,,,,,,Wall,,,,,
Floor Checklist,checklist,,,,,,,,Floor,,,,,
Kitchen Floor Checklist,checklist,,,,,,,Kitchen Floor,,,,,,
,step,,,,,,,Laundry,,,,,,
Splashback Checklist,checklist,,,,,,,,Splashback,,,,,
Floor / Skirting,checklist,,,,,,,,Floor / Skirting,,,,,
Floor Checklist,checklist,,,,,,,Balcony Floor,,,,,,
,step,,,,,,D01.03,,,,,,,
,step,,,,,,,Bathroom,,,,,,
Wall Checklist,checklist,,,,,,,,Wall,,,,,
Floor Checklist,checklist,,,,,,,,Floor,,,,,
Kitchen Floor Checklist,checklist,,,,,,,Kitchen Floor,,,,,,
,step,,,,,,,Laundry,,,,,,
Splashback Checklist,checklist,,,,,,,,Splashback,,,,,
Floor / Skirting,checklist,,,,,,,,Floor / Skirting,,,,,
Floor Checklist,checklist,,,,,,,Balcony Floor,,,,,,
,step,,,,,,D01.04,,,,,,,
,step,,,,,,,Bathroom,,,,,,
Wall Checklist,checklist,,,,,,,,Wall,,,,,
Floor Checklist,checklist,,,,,,,,Floor,,,,,
Kitchen Floor Checklist,checklist,,,,,,,Kitchen Floor,,,,,,
,step,,,,,,,Laundry,,,,,,
Splashback Checklist,checklist,,,,,,,,Splashback,,,,,
Floor / Skirting,checklist,,,,,,,,Floor / Skirting,,,,,
Floor Checklist,checklist,,,,,,,Balcony Floor,,,,,,
,step,,,,,,D01.05,,,,,,,
,step,,,,,,,Bathroom,,,,,,
Wall Checklist,checklist,,,,,,,,Wall,,,,,
Floor Checklist,checklist,,,,,,,,Floor,,,,,
Kitchen Floor Checklist,checklist,,,,,,,Kitchen Floor,,,,,,
,step,,,,,,,Laundry,,,,,,
Splashback Checklist,checklist,,,,,,,,Splashback,,,,,
Floor / Skirting,checklist,,,,,,,,Floor / Skirting,,,,,
Floor Checklist,checklist,,,,,,,Balcony Floor,,,,,,
,step,,,,,,D01.06,,,,,,,
,step,,,,,,,Bathroom,,,,,,
Wall Checklist,checklist,,,,,,,,Wall,,,,,
Floor Checklist,checklist,,,,,,,,Floor,,,,,
Kitchen Floor Checklist,checklist,,,,,,,Kitchen Floor,,,,,,
,step,,,,,,,Laundry,,,,,,
Splashback Checklist,checklist,,,,,,,,Splashback,,,,,
Floor / Skirting,checklist,,,,,,,,Floor / Skirting,,,,,
Floor Checklist,checklist,,,,,,,Balcony Floor,,,,,,
,step,,,,,,D01.07,,,,,,,
,step,,,,,,,Bathroom,,,,,,
Wall Checklist,checklist,,,,,,,,Wall,,,,,
Floor Checklist,checklist,,,,,,,,Floor,,,,,
Kitchen Floor Checklist,checklist,,,,,,,Kitchen Floor,,,,,,
,step,,,,,,,Laundry,,,,,,
Splashback Checklist,checklist,,,,,,,,Splashback,,,,,
Floor / Skirting,checklist,,,,,,,,Floor / Skirting,,,,,
Floor Checklist,checklist,,,,,,,Balcony Floor,,,,,,
,step,,,,,,D01.08,,,,,,,
,step,,,,,,,Bathroom,,,,,,
Wall Checklist,checklist,,,,,,,,Wall,,,,,
Floor Checklist,checklist,,,,,,,,Floor,,,,,
Kitchen Floor Checklist,checklist,,,,,,,Kitchen Floor,,,,,,
,step,,,,,,,Laundry,,,,,,
Splashback Checklist,checklist,,,,,,,,Splashback,,,,,
Floor / Skirting,checklist,,,,,,,,Floor / Skirting,,,,,
Floor Checklist,checklist,,,,,,,Balcony Floor,,,,,,
,step,,,,,Level 2,,,,,,,,
,step,,,,,,D02.01,,,,,,,
,step,,,,,,,Bathroom,,,,,,
Wall Checklist,checklist,,,,,,,,Wall,,,,,
Floor Checklist,checklist,,,,,,,,Floor,,,,,
Kitchen Floor Checklist,checklist,,,,,,,Kitchen Floor,,,,,,
,step,,,,,,,Laundry,,,,,,
Splashback Checklist,checklist,,,,,,,,Splashback,,,,,
Floor / Skirting,checklist,,,,,,,,Floor / Skirting,,,,,
Floor Checklist,checklist,,,,,,,Balcony Floor,,,,,,
,step,,,,,,D02.02,,,,,,,
,step,,,,,,,Bathroom,,,,,,
Wall Checklist,checklist,,,,,,,,Wall,,,,,
Floor Checklist,checklist,,,,,,,,Floor,,,,,
Kitchen Floor Checklist,checklist,,,,,,,Kitchen Floor,,,,,,
,step,,,,,,,Laundry,,,,,,
Splashback Checklist,checklist,,,,,,,,Splashback,,,,,
Floor / Skirting,checklist,,,,,,,,Floor / Skirting,,,,,
Floor Checklist,checklist,,,,,,,Balcony Floor,,,,,,
,step,,,,,,D02.03,,,,,,,
,step,,,,,,,Bathroom,,,,,,
Wall Checklist,checklist,,,,,,,,Wall,,,,,
Floor Checklist,checklist,,,,,,,,Floor,,,,,
Kitchen Floor Checklist,checklist,,,,,,,Kitchen Floor,,,,,,
,step,,,,,,,Laundry,,,,,,
Splashback Checklist,checklist,,,,,,,,Splashback,,,,,
Floor / Skirting,checklist,,,,,,,,Floor / Skirting,,,,,
Floor Checklist,checklist,,,,,,,Balcony Floor,,,,,,
,step,,,,,,D02.04,,,,,,,
,step,,,,,,,Bathroom,,,,,,
Wall Checklist,checklist,,,,,,,,Wall,,,,,
Floor Checklist,checklist,,,,,,,,Floor,,,,,
Kitchen Floor Checklist,checklist,,,,,,,Kitchen Floor,,,,,,
,step,,,,,,,Laundry,,,,,,
Splashback Checklist,checklist,,,,,,,,Splashback,,,,,
Floor / Skirting,checklist,,,,,,,,Floor / Skirting,,,,,
Floor Checklist,checklist,,,,,,,Balcony Floor,,,,,,
,step,,,,,,D02.05,,,,,,,
,step,,,,,,,Bathroom,,,,,,
Wall Checklist,checklist,,,,,,,,Wall,,,,,
Floor Checklist,checklist,,,,,,,,Floor,,,,,
Kitchen Floor Checklist,checklist,,,,,,,Kitchen Floor,,,,,,
,step,,,,,,,Laundry,,,,,,
Splashback Checklist,checklist,,,,,,,,Splashback,,,,,
Floor / Skirting,checklist,,,,,,,,Floor / Skirting,,,,,
Floor Checklist,checklist,,,,,,,Balcony Floor,,,,,,
,step,,,,,,D02.06,,,,,,,
,step,,,,,,,Bathroom,,,,,,
Wall Checklist,checklist,,,,,,,,Wall,,,,,
Floor Checklist,checklist,,,,,,,,Floor,,,,,
Kitchen Floor Checklist,checklist,,,,,,,Kitchen Floor,,,,,,
,step,,,,,,,Laundry,,,,,,
