"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"14195df9-417f-4240-8603-3a5cc1be9b3c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"806b345a-9d26-49c9-821d-c3bfee65de6e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Early Works Package"
"9f723f63-383c-4a4a-b9fa-facb26f71e43","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Early Works Package","Level Basement 02"
"9dc4df18-0002-4ac2-81b2-52638b191c3e","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Early Works Package","Level Basement 02","Zone 53"
"93954df7-d2ce-4bbd-b9c8-5200877874ee","","checklist-flat","pass","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Early Works Package","Level Basement 02","Zone 53","Speedpanel"
"40374284-2709-4bfd-829c-f7d02ff912b0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Early Works Package","Level Basement 02","Zone 56"
"64b387e4-61e2-462c-979e-e4c8f4ffa4aa","","checklist-flat","not-started","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Early Works Package","Level Basement 02","Zone 56","Speedpanel"
"5945fa5e-3aa6-47e2-8e1e-e0167262aabd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Early Works Package","Level Basement 01"
"f4c5f476-8824-417b-b8c1-cba27dbab2d3","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 52"
"7317af91-9107-448d-99d6-53795d8794b5","","checklist-flat","pass","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 52","Rigid Board"
"e362d835-6d5a-4469-a50d-4f691faaaf04","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 53"
"64857564-885a-4a76-976b-fc46d480d2ea","","checklist-flat","pass","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 53","Rigid Board"
"b342f419-95e0-4e24-987d-51dabd3b2422","","checklist-flat","pass","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 53","Speedpanel"
"6835d167-71fe-4569-8dfa-898c1f7a5ec6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 55"
"7cd5fb30-34a3-4b0c-b216-04124d89aeb0","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 55","Rigid Board"
"1686b74b-b291-436c-960e-38acf67c1c0a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 56"
"362f132b-0f4c-4659-86f5-69537f0aebba","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 56","Rigid Board"
"59c62a77-5197-4618-958b-5de4f3c51f76","","checklist-flat","not-started","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 56","Speedpanel"
"ed8ee694-5a81-41a4-a263-293efbd9a9bd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 58"
"dbec674e-d828-443b-be18-cf6badff4640","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 58","Rigid Board"
"f18d0fb9-61f4-4516-b7f8-e75f36abf120","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 59"
"736adfcc-2e7b-4c49-abbf-a7336ad62d3d","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 59","Rigid Board"
"8dc7ee64-6cd7-4515-8db8-11e3970099d1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 60"
"0ee03667-ade6-4907-b4ce-5df167ab0177","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 60","Rigid Board"
"e891316c-1e13-4659-8fe8-d49d0aa5c16f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 61"
"09400967-b49d-418d-8057-a036200682f0","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 61","Rigid Board"
"5d7ee5ac-a9d6-41f9-9e64-f5701275258d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Early Works Package","Level Basement 01","Zone 72"
