"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3cda2002-7e2e-4b6c-9227-dac1f5766eac","","folder-normal","work-in-progress","","step","TRUE","FALSE","ITP-006 - Track Placement"
"2c9814a7-d0d7-468c-aebe-405092c52ebb","","checklist-sectioned","work-in-progress","ITP-006 - Track Placement Rev3","checklist","FALSE","FALSE","ITP-006 - Track Placement","ITP-006 - Track Placement - Lot 0 - Approvals"
"65fd5b51-192d-4f9a-9950-01c9664dfebb","","folder-normal","pass","","step","TRUE","FALSE","ITP-007 - Concrete Track Slab Pour "
"91445e1b-7171-4785-91ea-e945d077a1d5","","checklist-sectioned","pass","ITP-007 - Concrete Track Slab Pour Rev2","checklist","FALSE","FALSE","ITP-007 - Concrete Track Slab Pour ","ITP-007 - Concrete Track Slab Pour - Lot 0 - Approvals"
"a1c5c98a-7abc-473c-a6b7-9e7a1e5ba48b","","folder-normal","work-in-progress","","step","TRUE","FALSE","ITP-008 - Hot Mix Asphalt "
"0aa12cb3-32d6-4896-8f3e-27564eb016a8","","checklist-sectioned","work-in-progress","ITP-008 - Hot Mix Asphalt Rev3","checklist","FALSE","FALSE","ITP-008 - Hot Mix Asphalt ","ITP-008 - Hot Mix Asphalt - Lot 0 - Approvals"
