type,name,values
checklist-flat,Exterior QA,
checkpoint,Weatherline,
checkpoint,Abodo/ timber cavity battens,
bool,Fixings at correct centres,
bool,Taping installed adaquately,
bool,Vermin strip installed,
checkpoint,Metal Cladding Aluminium cavity battens,
bool,Screws at correct centres,
bool,Appropriate sealants where necessary,
checkpoint,James Hardie Exotec Jmoulds,
bool,Installed to specification,
checkpoint,Exotec fibre cement board install,
bool,Substrate ready for install,
bool,Correct fixing centres,
checkpoint,Eterpan fibre cement soffit framing/ linings,
bool,Substrate ready for install,
bool,Correct fixing centres,
