"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c98cd56e-fa8c-4e19-9090-c4f4a06a568c","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"dcd5ab99-8801-4d4f-815f-aaa1c3cbb266","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Block A"
"8d63a73f-10bf-4def-88f8-19a3b72eac05","","checklist-flat","not-started","QA - Alberton","checklist-flat","FALSE","FALSE","Site QA","Block A","House 1"
"49bc9105-a185-4a70-a9d4-94ddad0c8ecd","","checklist-flat","not-started","QA - Alberton","checklist-flat","FALSE","FALSE","Site QA","Block A","House 2"
"8f19179b-53f9-41b6-aa90-e76c0430d640","","checklist-flat","not-started","QA - Alberton","checklist-flat","FALSE","FALSE","Site QA","Block A","House 3"
"d5fccba2-27b3-4b79-af7f-f2ffc6b0e181","","checklist-flat","work-in-progress","QA - Alberton","checklist-flat","FALSE","FALSE","Site QA","Block A","House 4"
"0e29166b-25df-4a93-8b3d-90218e3d8e5f","","checklist-flat","work-in-progress","QA - Alberton","checklist-flat","FALSE","FALSE","Site QA","Block A","House 5"
"656b62d3-6cff-4f72-9411-f2c87c0a3818","","checklist-flat","work-in-progress","QA - Alberton","checklist-flat","FALSE","FALSE","Site QA","Block A","House 6"
"b030d26d-57be-4225-bfd0-ec05bb37419e","","checklist-flat","work-in-progress","QA - Alberton","checklist-flat","FALSE","FALSE","Site QA","Block A","House 7"
"f91455de-3620-464b-a112-0f3ab33726bf","","checklist-flat","work-in-progress","QA - Alberton","checklist-flat","FALSE","FALSE","Site QA","Block A","House 8"
"5985caf4-e90b-4140-8214-f634f482f58c","","checklist-flat","not-started","QA - Alberton","checklist-flat","FALSE","FALSE","Site QA","Block A","House 9"
"00516f0a-c599-46d8-a4b8-7b227b20c86a","","checklist-flat","not-started","QA - Alberton","checklist-flat","FALSE","FALSE","Site QA","Block A","House 10"
"fd56265c-7217-4aa2-9846-55fefbe097aa","","checklist-flat","not-started","QA - Alberton","checklist-flat","FALSE","FALSE","Site QA","Block A","House 11"
