"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8ed8bdbb-ef18-4b78-9346-19c5a50f7d70","","pass","","folder","TRUE","FALSE","Accessway Drainage"
"ef3e9d88-f1ab-4ac8-817d-07210caf2b3c","","pass","ITP - Drainage","checklist","FALSE","FALSE","Accessway Drainage","ITP - Drainage - Gorge Road Eastern Entrance"
"0ce23b08-634c-492d-a791-88b664df40bf","","pass","ITP - Drainage","checklist","FALSE","FALSE","Accessway Drainage","ITP - Drainage - Gorge Road Western Entrance"
"fb284683-901f-4498-81e8-c1575c237ac8","","pass","ITP - Drainage","checklist","FALSE","FALSE","Accessway Drainage","ITP - Drainage - Golden Stairs - Western Entrance"
"f9896595-3450-444b-b871-5c860fae099c","","pass","ITP - Drainage","checklist","FALSE","FALSE","Accessway Drainage","ITP - Drainage - Golden Stairs - Eastern Entrance"
"d692819d-d389-4cec-b898-e4ee7eb66507","","pass","ITP - Drainage","checklist","FALSE","FALSE","Accessway Drainage","ITP - Drainage - RMU1 Entranceway"
"ce10d442-ddf9-498f-bb28-14d5b63431ba","","pass","","folder","TRUE","FALSE","Laydowns"
"ca15d539-761f-4453-b28d-3c9e6e1b08c0","","pass","ITP - Laydowns","checklist","FALSE","FALSE","Laydowns","ITP - Laydowns"
"59371eaa-4fd3-4fd0-8b27-82452b2e426f","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Laydowns","No. 1 &2 Laydowns"
"92c3983d-dba8-42c2-828f-a05f9b079a16","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Laydowns","No.3 Laydown"
"263458f9-72f1-4ffd-884d-23f0760736e8","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Laydowns","No. 4 Multipurpose Area"
"d05bcd88-ec72-4708-acb2-5e29f791e08d","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Laydowns","No. 5 Laydown"
"db47bd21-ec34-4754-92d6-336a8c7d7bab","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Laydowns","No. 6 Laydown at RMU2"
"2095818b-4499-4c1b-9927-1e2f7b2656d5","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Laydowns","No. 7 Multipurpose Area"
"6de0b5be-b168-4206-b7c8-ac45e90dd735","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Laydowns","No. 10 Turnaround Bay"
"68841eed-6838-4285-bb03-8d770c93a480","","work-in-progress","","folder","TRUE","FALSE","Internal Roads"
"00d1b595-bf0b-4f98-99d4-6dbce7b49768","","work-in-progress","ITP - Internal Roads","checklist","FALSE","FALSE","Internal Roads","ITP - Internal Roads"
"af778de2-4231-4cdf-9e0f-e0e7c888d734","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Internal Roads","Internal Roads Pavement Investigation"
"2bee8c15-6415-4d33-ba88-3a6fdcbdd004","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Internal Roads","Road 1 Pavement Investigations"
"5d5694a7-8836-4878-a264-9a7944ba4ca7","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Internal Roads","Road 2 Pavement Investigations"
"82f6e3fd-196f-4128-b027-5fa37bc346b7","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Internal Roads","Road 3 Pavement Investigations"
"7f54c7d9-c918-4766-acb2-08458e5aa887","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Internal Roads","Accessways"
"7dc7043f-ab69-4ebc-b898-a4165d0be372","","pass","","folder","TRUE","FALSE","Inverter Foundations"
