"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Site QA","dynamic","site qa"
,"Columns"
,,"Ground",,"ground"
,,"Level 1",,"level 1"
,,"Level 2",,"level 2"
,,"Level 3",,"level 3"
,,"Level 4 Plant Deck",,"level 4 plant deck"

"Stage 1"
,"Scope",,
,"Rows"
,,"Stage 1","dynamic","stage 1"
,"Columns"
,,"Slab",,"slab"
,,"Columns",,"columns"
,,"Hoist",,"hoist"
,,"Walls",,"walls"
,,"Stairs",,"stairs"
,,"Stairs insitu",,"stairs insitu"
,,"Core lids",,"core lids"

