resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,,step,,,Fitoff,,,,,,,,
,,,,,,,,step,,,,Ground,,,,,,,
(LATEST) Fit Off/ Fixture Install - Toilets & Cisterns,(LATEST) Fit Off/ Fixture Install - All Items,(LATEST) Fit Off/ Fixture Install - Waste & Trap Clean Out,(LATEST) Fit Off/ Fixture Install - Wall Tundish,(LATEST) Fit Off/ Fixture Install - Hose Taps,(LATEST) Fit Off/ Fixture Install - Gas Cooktop,(LATEST) Fit Off/ Fixture Install - Cleaners Sink,,folder-with-checklists,,,,,Pour 1,,,,,,
(LATEST) Fit Off/ Fixture Install - Toilets & Cisterns,(LATEST) Fit Off/ Fixture Install - All Items,(LATEST) Fit Off/ Fixture Install - Waste & Trap Clean Out,(LATEST) Fit Off/ Fixture Install - Wall Tundish,(LATEST) Fit Off/ Fixture Install - Hose Taps,(LATEST) Fit Off/ Fixture Install - Gas Cooktop,(LATEST) Fit Off/ Fixture Install - Cleaners Sink,,folder-with-checklists,,,,,Pour 2,,,,,,
,,,,,,,,step,,,Testing,,,,,,,,
,,,,,,,,step,,,,Basement 5,,,,,,,
(LATEST) Testing - Potable Water - 1500kpa water test (not an air test),(LATEST) Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),(LATEST) Testing - Potable Water - 1500kpa Bump Test Couta Fittings (not an air test),(LATEST) Testing - Natural Gas,(LATEST) Testing Potable Water - (1.5 times maximum working pressure),(LATEST) Testing - Water Hold - Sewer & Stormwater Underslung,(LATEST) Testing - Air Test - Stormwater & Downpipe,(LATEST) Testing - Air Test - Sewer,folder-with-checklists,,,,,Pour 1,,,,,,
(LATEST) Testing - Potable Water - 1500kpa water test (not an air test),(LATEST) Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),(LATEST) Testing - Potable Water - 1500kpa Bump Test Couta Fittings (not an air test),(LATEST) Testing - Natural Gas,(LATEST) Testing Potable Water - (1.5 times maximum working pressure),(LATEST) Testing - Water Hold - Sewer & Stormwater Underslung,(LATEST) Testing - Air Test - Stormwater & Downpipe,(LATEST) Testing - Air Test - Sewer,folder-with-checklists,,,,,Pour 2,,,,,,
,,,,,,,,step,,,,Basement 4,,,,,,,
(LATEST) Testing - Potable Water - 1500kpa water test (not an air test),(LATEST) Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),(LATEST) Testing - Potable Water - 1500kpa Bump Test Couta Fittings (not an air test),(LATEST) Testing - Natural Gas,(LATEST) Testing Potable Water - (1.5 times maximum working pressure),(LATEST) Testing - Water Hold - Sewer & Stormwater Underslung,(LATEST) Testing - Air Test - Stormwater & Downpipe,(LATEST) Testing - Air Test - Sewer,folder-with-checklists,,,,,Pour 1,,,,,,
(LATEST) Testing - Potable Water - 1500kpa water test (not an air test),(LATEST) Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),(LATEST) Testing - Potable Water - 1500kpa Bump Test Couta Fittings (not an air test),(LATEST) Testing - Natural Gas,(LATEST) Testing Potable Water - (1.5 times maximum working pressure),(LATEST) Testing - Water Hold - Sewer & Stormwater Underslung,(LATEST) Testing - Air Test - Stormwater & Downpipe,(LATEST) Testing - Air Test - Sewer,folder-with-checklists,,,,,Pour 2,,,,,,
,,,,,,,,step,,,,Basement 3,,,,,,,
(LATEST) Testing - Potable Water - 1500kpa water test (not an air test),(LATEST) Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),(LATEST) Testing - Potable Water - 1500kpa Bump Test Couta Fittings (not an air test),(LATEST) Testing - Natural Gas,(LATEST) Testing Potable Water - (1.5 times maximum working pressure),(LATEST) Testing - Water Hold - Sewer & Stormwater Underslung,(LATEST) Testing - Air Test - Stormwater & Downpipe,(LATEST) Testing - Air Test - Sewer,folder-with-checklists,,,,,Pour 1,,,,,,
