"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d300b3e9-2401-4382-b3f8-6e3a7ad66ec9","","no-status-not-started","","folder","TRUE","FALSE","Site QA"
"e6e6917f-1afc-4b73-868a-907156b29f88","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Drainage"
"9ccecd02-02ae-489a-9680-c954901edeae","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Drainage","Zone 1"
"6cf6b2fe-5731-468f-9caf-a25f379fa151","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Plumbing"
"5433300d-9aa6-4180-a072-f0007f7eccde","","no-status-not-started","","folder","TRUE","FALSE","Delays/Defects"
