type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Botany Downs Flashings,,,,,,Botany Downs Flashings,
section,Drip edge flashings,,,,,,,
checkpoint,Correct girth as per plan,,,,,,,
checkpoint,Overlaps are sealed and riveted,,,,,,,
checkpoint,Free from damages and scratches,,,,,,,
section,Barge flashings,,,,,,,
checkpoint,Correct girth as per plan,,,,,,,
section,Penetration flashings,,,,,,,
checkpoint,Correct girth as per plan,,,,,,,
checkpoint,Overlaps are sealed and riveted,,,,,,,
checkpoint,Free from damages and scratches,,,,,,,
checkpoint,Under flashing installed and taped,,,,,,,
section,Parapets,,,,,,,
checkpoint,Correct size flashings,,,,,,,
checkpoint,Under soakers installed as per details,,,,,,,
checkpoint,Fixings at 300 ⌀,,,,,,,
checkpoint,Expansion joints installed,,,,,,,
checkpoint,Caps completed and damage free,,,,,,,
section,Heads + Barges,,,,,,,
checkpoint,Correct size flashings,,,,,,,
checkpoint,Under fixings in places + correct fixings,,,,,,,
checkpoint,Expansion joints installed,,,,,,,
checkpoint,Fibretite flashing install membrane & welded to flashing correctly,,,,,,,
