resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,,,,step,,,Level 6 Slab ,,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Precast Install - Balcony,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,Balcony soffit framing ,,,folder-with-checklists,,,,Grid 1 ,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 2,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 3,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 4 ,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 5 ,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 6,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 7,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 8,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 9 ,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 10 ,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 11,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,Roof framing  ,,,,folder-with-checklists,,,,Grid 12,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 13,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 14,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 15 ,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,Roof framing  ,,,,folder-with-checklists,,,,Grid 16,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 17,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 18,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Precast Install - Balcony,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,Balcony soffit framing ,,,folder-with-checklists,,,,Grid 19,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 20 ,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid 21,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Precast Install - Balcony,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,Balcony soffit framing ,Roof framing  ,,folder-with-checklists,,,,Grid A,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid b,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,Roof framing  ,,,,folder-with-checklists,,,,Grid c,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,Roof framing  ,,,,folder-with-checklists,,,,Grid d,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,,,,,folder-with-checklists,,,,Grid e,,,,,,,
Upper Floor Slab ,precast install ,Precast install - flat slabs ,Precast Install - Balcony,Window door Opening / Framing ,Framing to steel beam ,GIB Weatherline ,Balcony soffit framing ,Roof framing  ,,folder-with-checklists,,,,Grid f,,,,,,,
