"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Balustrade Progress"
,"Scope",,
,"Rows"
,,"North Building - Ground Level","dynamic","north building","ground level"
,,"North Building - Level 1","dynamic","north building","level 1"
,,"North Building - Level 2","dynamic","north building","level 2"
,,"South Building - Ground Level","dynamic","ground level","south building"
,,"South Building - Level 1","dynamic","level 1","south building"
,,"South Building - Level 2","dynamic","level 2","south building"
,"Columns"
,,"Bolts/Screws tight",,"bolts/screws tight"
,,"Balustrade plumb",,"balustrade plumb"
,,"Handrail straight",,"handrail straight"
,,"Scratches touched up",,"scratches touched up"
,,"Balustrade installed with no more than 100mm gap between cladding",,"balustrade installed with no more than 100mm gap between cladding"
,,"Balustrade installation complete, checked and reviewed",,"balustrade installation complete, checked and reviewed"

"Stairs Progress"
,"Scope",,
,"Rows"
,,"Stair 1",,"north building","stair 1"
,,"Stair 2",,"stair 2","north building"
,,"Stair 3",,"south building","stair 3"
,"Columns"
,,"Bolts/Screws tight",,"bolts/screws tight"
,,"Balustrade plumb",,"balustrade plumb"
,,"Handrail straight",,"handrail straight"
,,"Scratches touched up",,"scratches touched up"
,,"Balustrade installed with no more than 100mm gap between cladding",,"balustrade installed with no more than 100mm gap between cladding"
,,"Balustrade installation complete, checked and reviewed",,"balustrade installation complete, checked and reviewed"

