"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d43bdae5-024b-4a34-9a01-d2c341e3b4be","","folder-normal","not-started","","step","TRUE","FALSE","Basement"
"967a3b0d-56f2-487e-a1d9-727daff4a95d","","checklist-flat","not-started","Daily Site Diary","checklist-flat","FALSE","FALSE","Basement","Daily Site Diary"
"11d23574-81b8-47e4-b7a1-1e78b5682513","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 1"
"b5271ce6-58ec-42db-a980-cad39695d8ed","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 1","Zone 1"
"6ecce7b6-1612-421d-89f1-7fe491c86465","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 1","Zone 2"
"2a6da99d-58bc-40ef-9677-4ae68623b01f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 1","Zone 3"
"bd2edc42-1008-4795-a557-0d17a8169a8d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 1","Zone 4"
"338e5512-d050-4369-a015-92ef6c3f6790","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 1","Zone 5"
"66f543dd-c005-59fd-a8e0-452d7a222dbd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 2"
"79d1c9f9-95e9-53eb-acde-ff5ce84c087a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 2","Zone 1"
"792181da-7c89-5212-9651-b59f7ce9f967","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 2","Zone 2"
"de18bb9b-fb21-5f55-977a-9ea5d8543200","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 2","Zone 3"
"db60d23b-5f0b-5ea0-97db-3c9618855c17","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 2","Zone 4"
"96cb7644-10cb-5032-a83a-fc5eea203fca","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 2","Zone 5"
"5c53cf9a-3125-48ec-9719-e1a5767ec712","","checklist-flat","not-started","Site Diary v1","checklist-flat","FALSE","FALSE","Site Diary"
