"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8b38fecf-7433-455c-b9e6-f5b0486c3cbe","","folder-normal","work-in-progress","","step","TRUE","FALSE","VU Pedestrian Footbrige"
"e6e0aecc-a08c-46de-b080-79b3ba635ba8","","folder-normal","work-in-progress","","step","TRUE","FALSE","VU Pedestrian Footbrige","Stairs"
"ced9ffe1-b188-4d0d-b070-62d2de7d47a4","","folder-normal","work-in-progress","","step","TRUE","FALSE","VU Pedestrian Footbrige","Stairs","North Stair"
"45e9de15-89b7-4b38-b226-a3d8c720224e","","checklist-sectioned","work-in-progress","ITP007 - Concrete - Column Installation","checklist","FALSE","FALSE","VU Pedestrian Footbrige","Stairs","North Stair","ITP007 - Concrete - Column Installation"
"803e0366-b9f3-4f9f-8b5a-9ccc5f073ff3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","VU Pedestrian Footbrige","Stairs","South Stair"
"68bcdee7-8096-4b07-a216-0bf03da1cfba","","folder-normal","no-status-not-started","","step","TRUE","FALSE","VU Pedestrian Footbrige","Piers"
"2e075763-781e-4372-b432-cfb12ab28f96","","folder-normal","no-status-not-started","","step","TRUE","FALSE","VU Pedestrian Footbrige","Piers","North Pier"
"72edd39f-d0d1-491e-8192-a9d0dff2c3a9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","VU Pedestrian Footbrige","Piers","South Pier"
"57b3e1be-1e55-4637-95da-e26724cbbbe1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","VU Pedestrian Footbrige","Slabs"
"c0311a09-a093-4e1c-8f6a-62f155adf0ef","","folder-normal","no-status-not-started","","step","TRUE","FALSE","VU Pedestrian Footbrige","Slabs","Bridge Slab"
"2bbdff73-831a-47f7-9fee-76481ae2751f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","VU Pedestrian Footbrige","Slabs","Ground Floor"
