type,name,values,prefix,postfix,usage count,user addable,template name
checklist,Cable Support QA,,,,,,
section,QA Checklist,,,,,,
checkpoint,Shop drawings approved,,,,,,
checkpoint,Free from clashes,,,,,,
checkpoint,Complted install from point A to B,,,,,,
checkpoint,Seismic,,,,,,
checkpoint,Completely fixed in place,,,,,,
checkpoint,Safe to use,,,,,,
,,,,,,,
checklist ,First Fix QA,,,,,,
section,QA Checklist,,,,,,
checkpoint,Using most recent drawing revision,,,,,,
checkpoint,Correct cable being installed,,,,,,
checkpoint,Cable labelled adequatly,,,,,,
checkpoint,Secured neatly and to standard,,,,,,
,,,,,,,
checklist,Second Fix QA,,,,,,
section,QA Checklist,,,,,,
checkpoint,Item ready for second fix,,,,,,
checkpoint,Correct outlet or fitting being used,,,,,,
checkpoint,Installed as per specification,,,,,,
checkpoint,"Tight, level and secure",,,,,,
checkpoint,Cover and label,,,,,,
,,,,,,,
checklist,Switchboard Preliven QA,,,,,,
section,QA Checklist,,,,,,
checkpoint,Area ready,,,,,,
checkpoint,Fixed in place,,,,,,
checkpoint,Level and secure,,,,,,
checkpoint,Cable entries,,,,,,
checkpoint,Terminations,,,,,,
checkpoint,Pre Livening Tests,,,,,,
,,,,,,,
,,,,,,,
checklist,Switchboard Live QA,,,,,,
section,QA Checklist,,,,,,
checkpoint,Post Liven Tests,,,,,,
checkpoint,Cover and panels secure,,,,,,
checkpoint,Doors locked,,,,,,
checkpoint,Schedules,,,,,,
checkpoint,Clean and Tidy,,,,,,
