"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bf3ff4fa-1b28-43e7-9bfc-30e96e4b7d54","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"af40cbd2-1ad9-4d5b-a8cd-32adf98ec165","","pass","","folder","TRUE","FALSE","Project QA","First Fix"
"0937f6f4-410c-48d9-8709-fd34dcbeee69","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix"
"24051802-0a9b-4e56-9e66-f0990776a688","","not-started","","folder","TRUE","FALSE","Project QA","Second Fix"
"1e0405f7-84c1-4aca-8dab-68f05e083e8f","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","Second Fix","Second Fix"
