"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1bcc8ff0-bd26-4003-8d19-fc14077a6cf0","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"4084b13d-5e24-45db-965b-1a8a50b18273","","not-started","","folder","TRUE","FALSE","Project QA","Underslab"
"4a38b43e-3e84-4b19-adf8-1e690fa4a1c5","","not-started","Add Underfloor checks","checklist","FALSE","FALSE","Project QA","Underslab","Underfloor"
"d9e11c39-442a-40fd-8959-78c57257f81c","","work-in-progress","","folder","TRUE","FALSE","Project QA","Drainage"
"f4b1495d-1afb-4763-9287-a7875f75d7f6","","work-in-progress","Add Drainage checks","checklist","FALSE","FALSE","Project QA","Drainage","Drainage"
"752ef0d5-87b9-417e-87e2-92860cbe05ba","","pass","","folder","TRUE","FALSE","Project QA","First Fix"
"8e081f65-6c6a-456b-a2bd-0f67f73292b6","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix"
"54693f1f-ff50-4346-9d85-5ad2d145c086","","work-in-progress","","folder","TRUE","FALSE","Project QA","Second Fix"
"4f26254b-abcb-45e6-a8ff-64dbd309c94f","","work-in-progress","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","Second Fix","Second Fix"
