"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"dffd111e-9a15-4fd8-9dfe-a9aaa625df94","","work-in-progress","","folder","TRUE","FALSE","Underslab and Drainage"
"0bfef45d-a6ec-4f58-94e2-96a6399fcc45","","pass","","folder","TRUE","FALSE","Underslab and Drainage","Dispatch Office"
"325f74b0-865a-4796-a722-dca4e7edd7c9","","pass","Underfloor Check","checklist","FALSE","FALSE","Underslab and Drainage","Dispatch Office","Underfloor Check"
"467b4e93-7ba4-42e2-adf7-1cecd55071ab","","pass","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Dispatch Office","Inslab Pipe Work"
"b0c35af3-6cf7-4e57-915a-4cb69bb4711c","","pass","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Dispatch Office","Drainage"
"b43464b1-0639-4174-bd80-0bd3d34a435f","","pass","","folder","TRUE","FALSE","Underslab and Drainage","Main Office"
"891705e6-61e2-41eb-ab0d-26362fb1c224","","pass","Underfloor Check","checklist","FALSE","FALSE","Underslab and Drainage","Main Office","Underfloor Check"
"cd2448eb-11d6-4b5c-9140-424b727dd8d4","","pass","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Main Office","Inslab Pipe Work"
"8652ea00-d463-43db-b8fe-c61e878f5ec7","","pass","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Main Office","Drainage"
"03036f57-c066-400a-b1e1-f15f8a11a99b","","pass","","folder","TRUE","FALSE","Underslab and Drainage","Water Main Grid H"
"d8ccde4a-e346-466e-b908-b05c568799b2","","pass","Underfloor Check","checklist","FALSE","FALSE","Underslab and Drainage","Water Main Grid H","Underfloor Check"
"70510345-91b5-4a94-ac44-d706c17eab69","","pass","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Water Main Grid H","Inslab Pipe Work"
"c9bf725e-321a-4735-94a0-88a8326b773e","","pass","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Water Main Grid H","Drainage"
"4671d1fe-e385-4a7a-8721-1d4dbbbbd823","","pass","","folder","TRUE","FALSE","Underslab and Drainage","Water Main Grid 1"
"b866496e-b88e-4089-88de-3c83fc97e6a8","","not-applicable","Underfloor Check","checklist","FALSE","FALSE","Underslab and Drainage","Water Main Grid 1","Underfloor Check"
"da8bf29c-6ce4-4826-bd52-1e587ba2357c","","not-applicable","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Water Main Grid 1","Inslab Pipe Work"
"04d61ee8-311d-44fe-a383-156590a5905e","","pass","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Water Main Grid 1","Drainage"
"2e992d39-5866-4901-9bc6-142a0a35209d","","pass","","folder","TRUE","FALSE","Underslab and Drainage","Water Main Grid A"
"68c552ac-0dad-4053-95ae-563669a7edc0","","pass","Underfloor Check","checklist","FALSE","FALSE","Underslab and Drainage","Water Main Grid A","Underfloor Check"
"3db726c5-e14c-4fab-8d58-418c063f0275","","pass","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Water Main Grid A","Inslab Pipe Work"
"c753c497-eba8-47c1-adfd-8d839eeae4a6","","pass","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Water Main Grid A","Drainage"
"a6196726-bab7-4da9-a9cd-e97544e1ff70","","pass","","folder","TRUE","FALSE","Underslab and Drainage","Wate Main Grid 16"
"43b3fc9c-7655-43d6-97fc-5dc7cb04f6aa","","pass","Underfloor Check","checklist","FALSE","FALSE","Underslab and Drainage","Wate Main Grid 16","Underfloor Check"
"6236fa8c-e81d-4cab-947b-b936f71d5779","","pass","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Wate Main Grid 16","Inslab Pipe Work"
"fd104688-3068-41df-a45c-9c8536b73b18","","pass","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Wate Main Grid 16","Drainage"
"7c84713c-f3bd-4012-8d42-df2e29686a6b","","pass","","folder","TRUE","FALSE","Underslab and Drainage","Water Main Eastern Front Yard"
"4a465ea4-b2e1-4c95-98d7-22e78bc53feb","","not-applicable","Underfloor Check","checklist","FALSE","FALSE","Underslab and Drainage","Water Main Eastern Front Yard","Underfloor Check"
"a64c36ed-c8f0-4921-80d1-1d47283baa2e","","not-applicable","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Water Main Eastern Front Yard","Inslab Pipe Work"
"58ea118a-51d3-42b2-96ad-0e3bdf9dc0f4","","pass","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Water Main Eastern Front Yard","Drainage"
"3e7ce1f6-d129-49b7-b87e-32251c64b29a","","pass","","folder","TRUE","FALSE","Underslab and Drainage","Grid 16 Loading Bay"
"5cd8be79-8256-453d-bdd4-2a44be92e3a2","","pass","Underfloor Check","checklist","FALSE","FALSE","Underslab and Drainage","Grid 16 Loading Bay","Underfloor Check"
"57790c58-65b2-4c81-b43c-12f6d28f66b9","","pass","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Grid 16 Loading Bay","Inslab Pipe Work"
"0ae92b4c-283b-41a2-916d-51de32fbc916","","pass","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Grid 16 Loading Bay","Drainage"
"940c9e4c-5253-4215-885b-85ced2353321","","pass","","folder","TRUE","FALSE","Underslab and Drainage","Weighbridge Drainage"
"8db80b81-64fd-446a-85f1-e497c4531e9c","","pass","Underfloor Check","checklist","FALSE","FALSE","Underslab and Drainage","Weighbridge Drainage","Underfloor Check"
"c7652eee-d486-457c-a27e-d6546aa8d58d","","pass","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Weighbridge Drainage","Inslab Pipe Work"
"05849213-ab85-4051-810c-e49474a7380e","","pass","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Weighbridge Drainage","Drainage"
"ed0e6c6b-9262-4392-aa6e-5bffb8e49a43","","pass","","folder","TRUE","FALSE","Underslab and Drainage","RPZ Set Ups"
"8ed4a1dd-3c8c-4b83-a948-871adf8625f9","","pass","Underfloor Check","checklist","FALSE","FALSE","Underslab and Drainage","RPZ Set Ups","Underfloor Check"
"f649c841-51db-4423-a9ec-d1606b93ed6a","","pass","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","RPZ Set Ups","Inslab Pipe Work"
"b42780b0-dc88-4b23-9fbe-b4613d3e0a14","","not-applicable","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","RPZ Set Ups","Drainage"
"5ca01cfb-6460-4396-9e1c-55699e5336a9","","not-started","","folder","TRUE","FALSE","Underslab and Drainage","Water Tanks and Pumps"
