"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e3ed21ed-15d3-44f5-a2d3-5c7562e48a9a","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"f38fbfe8-e972-4e63-a03f-2fff568eac32","","pass","","folder","TRUE","FALSE","Project QA","First Fix"
"912c7265-7870-4f29-b151-f4bb35b11b90","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix"
"ac2ac441-8b04-48ff-8ee0-1db9015fecd3","","not-started","","folder","TRUE","FALSE","Project QA","Second Fix"
"a3ca7160-d2d7-4d2f-9094-a5314f48b314","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","Second Fix","Second Fix"
