"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ea7a3995-61c4-4de5-905d-aede691d3fd3","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"ad664643-108e-49ae-850f-aa0d0d9aac63","","work-in-progress","","folder","TRUE","FALSE","Project QA","Underslab"
"e560e860-0b18-4182-b433-1c5768e5fa99","","work-in-progress","Add Underfloor checks","checklist","FALSE","FALSE","Project QA","Underslab","Block 7 - Underfloor"
"a1800847-f950-4445-923c-baa55c72072c","","work-in-progress","Add Underfloor checks","checklist","FALSE","FALSE","Project QA","Underslab","Block 1 - Underfloor"
"fbf77bf5-ea61-43e5-8e5b-2c2a582d5eb6","","work-in-progress","","folder","TRUE","FALSE","Project QA","Drainage"
"cae33bf9-de10-477a-a6b8-2b2b39910cfd","","work-in-progress","Add Drainage checks","checklist","FALSE","FALSE","Project QA","Drainage","Drainage"
"37d4a14c-d7e0-4c7c-8c17-8e049c5d9f63","","pass","","folder","TRUE","FALSE","Project QA","First Fix"
"650f0df0-4010-416a-8ffc-3d353eeab05a","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","Block 7 - 1st Fix"
"9e234881-1b4f-4797-a9f0-6d6e6a3a9458","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","Block 1 - 1st Fix"
"9d71ff35-744f-4b86-92fc-5ff1b1438e78","","pass","","folder","TRUE","FALSE","Project QA","Second Fix"
"d4f47b6d-f01c-4e97-873a-2f6ce5decb73","","pass","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","Second Fix","Block 7 Second Fix"
"ee6c2103-433b-4de3-9daf-312ecb0da566","","pass","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","Second Fix","Block 1 - 2nd Fix"
"d4e42cb8-df0d-4a7d-a50e-78f2e9dd0e21","","work-in-progress","","folder","TRUE","FALSE","Project QA","Block 1 - Phase 2"
"67701150-9916-49f7-a310-d26ba3958cb3","","not-started","Add First Fix checks","checklist","FALSE","FALSE","Project QA","Block 1 - Phase 2","First Fix QA"
"d10380a7-0715-4560-842a-77e069a80fba","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","Block 1 - Phase 2","Second Fix QA"
"47dcb2d0-2a1f-4540-a472-e76533ebf9d7","","pass","Add Underfloor checks","checklist","FALSE","FALSE","Project QA","Block 1 - Phase 2","Underfloor QA"
"095e805b-e912-4708-963c-1b3f314dac71","","work-in-progress","","folder","TRUE","FALSE","Project QA","Block 2"
"d919a2d8-f32a-49ac-89cd-dfccc7d913b4","","not-started","Add Drainage checks","checklist","FALSE","FALSE","Project QA","Block 2","Drainage"
"b0c32988-39a3-44e1-bcc4-c27debe00fd4","","not-started","Add First Fix checks","checklist","FALSE","FALSE","Project QA","Block 2","First Fix QA"
"c22aa302-b1c5-41aa-9b77-5af97585988c","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","Block 2","Second Fix QA"
"31c95864-0cb8-418f-b015-05c72a0ce0c9","","pass","Add Underfloor checks","checklist","FALSE","FALSE","Project QA","Block 2","Underfloor QA"
"583c5061-f447-4e66-92d1-3d4bc2993aff","","not-started","","folder","TRUE","FALSE","Pump Station"
"fdcef88a-8268-4e36-9ec0-d891b22a2a49","","not-started","Add Drainage checks","checklist","FALSE","FALSE","Pump Station","Drainage"
