"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1e4f0b9d-d634-4651-8333-b2e28d47ad08","","not-started","","folder","TRUE","FALSE","Project QA"
"66c51591-53e8-480e-a785-a41bdb87ae6c","","not-started","","folder","TRUE","FALSE","Project QA","First Fix"
"55e39d4b-293d-44c7-9676-9c2875a39185","","not-started","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix"
"c71013d0-e377-4be5-855d-9aa4cfae86dc","","not-started","","folder","TRUE","FALSE","Project QA","Second Fix"
"ffca3512-83c4-44b3-b3f0-d4e9b85ab668","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","Second Fix","Second Fix"
