"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1f7f01f6-54b2-42ea-a101-c9c63311232a","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"b60a897c-230f-48f7-97d2-ec5f65c2e2e9","","not-started","","folder","TRUE","FALSE","Project QA","Underslab"
"db90e7cd-7dcc-4ad0-a054-f59da82b1144","","not-started","Add Underfloor checks","checklist","FALSE","FALSE","Project QA","Underslab","Underfloor"
"a61d50ba-1f16-4f05-a3c9-a1dd171d43e3","","work-in-progress","","folder","TRUE","FALSE","Project QA","Drainage"
"d644e79c-fa1b-44a1-aa8e-9dba7f3cfeb2","","work-in-progress","Add Drainage checks","checklist","FALSE","FALSE","Project QA","Drainage","Drainage"
"ee456d09-19fc-404c-a3d5-b04efaa2a5c9","","not-started","","folder","TRUE","FALSE","Project QA","First Fix"
"cf2fc4bc-277d-4c35-9100-f84fce9a0726","","not-started","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix"
"72908920-0f67-4ead-b71b-08c758709b51","","not-started","","folder","TRUE","FALSE","Project QA","Second Fix"
"8d730692-f8b5-4d5b-9729-ec7d192015c7","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","Second Fix","Second Fix"
