"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"80f6c6fe-64ff-4f75-895f-794e434ef89d","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"764653c7-c862-4824-a75f-d12c8ef23e11","","work-in-progress","","folder","TRUE","FALSE","Project QA","Underslab"
"3d89a58f-8522-4f89-a952-206f4bd23fba","","work-in-progress","Add Underfloor checks","checklist","FALSE","FALSE","Project QA","Underslab","Underfloor"
"2bded4a4-97b9-486b-bfe5-3fadb5cfd710","","not-started","Add Penetrations","checklist","FALSE","FALSE","Project QA","Underslab","Fire Penetration"
"bd61e917-a4dc-434e-aa8b-9c5cae5972c3","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Pipework"
"4ae61a3d-9246-4680-beba-435935be5b0c","","work-in-progress","","folder","TRUE","FALSE","Project QA","Drainage"
"ce1f1a40-ff67-419f-9945-2058fe105f93","","work-in-progress","Add Drainage checks","checklist","FALSE","FALSE","Project QA","Drainage","Drainage"
"9ec67d10-dbd8-43a4-be99-3488173e6e89","","work-in-progress","","folder","TRUE","FALSE","Project QA","First Fix"
"4dd2c7b8-be6d-4512-8f45-3bc9dbb99b95","","work-in-progress","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix"
"dcf1e339-c44d-41a1-bd74-2d8a0f6a007a","","not-started","","folder","TRUE","FALSE","Project QA","Second Fix"
"6d436d44-c0d9-4944-8ee6-6ee616ad4ab4","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","Second Fix","Second Fix"
"a3b7254b-86ab-4fb1-b83a-019bd6910ffa","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Others"
