"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0eae9da4-055d-498e-8d1e-002a18b0b45f","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"b4f78ac0-e299-4153-bffa-37aa3cfe88e0","","work-in-progress","","folder","TRUE","FALSE","Project QA","Drainage"
"41827d18-48a0-4f8b-aaf6-c8c57f7bd7f0","","work-in-progress","Add Drainage checks","checklist","FALSE","FALSE","Project QA","Drainage","Drainage"
"01c99175-1a1c-450d-b27f-6f42fe3aaf9b","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Others"
