"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cba4324b-2cef-4e3a-bc68-a0a558e743c4","","work-in-progress","","folder","TRUE","FALSE","Underslab and Drainage"
"71cf82ad-18ac-46a7-8c15-66315538ff7e","","work-in-progress","","folder","TRUE","FALSE","Underslab and Drainage","Ground Floor"
"15d62f6b-ba03-4f0b-9c18-d1e634841bed","","work-in-progress","","folder","TRUE","FALSE","Underslab and Drainage","Ground Floor","Zone 1"
"764a545e-dafe-42f5-bca2-21845dd35dd7","","work-in-progress","","folder","TRUE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 1"
"9230afe4-ac20-4d59-8106-eb544a811f10","","pass","Underfloor QA","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 1","Underfloor QA"
"b6c93719-601f-4f07-a74a-52dfdb11f41f","","pass","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 1","Inslab Pipe Work"
"32b3d3d0-8462-4c53-bd02-324676c32dc9","","not-started","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 1","Drainage"
"3e2ce66c-1f17-4196-ba44-05dac3d14d5c","","pass","Post Pour QA","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 1","Post Pour"
"928872b1-3fa3-4d87-b1d8-94f41545ccab","","work-in-progress","","folder","TRUE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 2"
"ce748c38-8651-47b0-bf87-410ff3e0d021","","pass","Underfloor QA","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 2","Underfloor QA"
"f26d0def-b287-43c4-b55a-7613f91aa9e1","","pass","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 2","Inslab Pipe Work"
"580b2be2-76b3-4752-8f75-1a6831c0173c","","not-started","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 2","Drainage"
"d61dfaa4-b760-44d0-92d1-aca6d24a43ad","","pass","Post Pour QA","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 2","Post Pour"
"315c11ea-2418-4e69-a333-3150716d9963","","work-in-progress","","folder","TRUE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 3"
"a7d99d86-f923-46e1-861c-20bbb0cb2a0c","","pass","Underfloor QA","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 3","Underfloor QA"
"4df89f0f-105e-4c53-b34f-2fed2a3b074d","","pass","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 3","Inslab Pipe Work"
"6ada1391-295a-4fcb-8c55-7f26ea2cd2ba","","not-started","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 3","Drainage"
"7e62da87-47e1-4c83-815f-2b9466ad77cc","","pass","Post Pour QA","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 3","Post Pour"
"be52d5d1-4b23-43f3-a578-99b747ecce84","","work-in-progress","","folder","TRUE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 4"
"85e2c307-5c03-4ef5-911f-642435bb02e7","","pass","Underfloor QA","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 4","Underfloor QA"
"75448a81-af56-44db-a0f2-6b2ce876a4ad","","pass","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 4","Inslab Pipe Work"
"99adf385-8c7e-4fde-8428-55c3a644372d","","not-started","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 4","Drainage"
"0d4025fa-1e7b-4f8c-96b2-8caeaa2a5ca5","","pass","Post Pour QA","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 1","Zone 1 Section 4","Post Pour"
"48195400-9a0d-4440-9d52-e8f1eb4d6d70","","work-in-progress","","folder","TRUE","FALSE","Underslab and Drainage","Ground Floor","Zone 2"
"e1f25222-3b01-4957-9655-358b4f0f0c54","","work-in-progress","","folder","TRUE","FALSE","Underslab and Drainage","Ground Floor","Zone 2","Zone 2 Section 1"
"468bb071-2f7b-4d8b-87ee-09681f207d52","","pass","Underfloor QA","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 2","Zone 2 Section 1","Underfloor QA"
"9162e1a9-70b5-4b89-968b-f51ffa19e4d3","","pass","Inslab Pipe Work","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 2","Zone 2 Section 1","Inslab Pipe Work"
"12e866a0-fcfa-438c-8a42-b1d3ebc1f02b","","not-started","Drainage","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 2","Zone 2 Section 1","Drainage"
"1a927e3d-c7c6-4006-a941-76ab181e1508","","pass","Post Pour QA","checklist","FALSE","FALSE","Underslab and Drainage","Ground Floor","Zone 2","Zone 2 Section 1","Post Pour"
