"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f3e5b716-0c83-4ae8-8830-50508d30b59a","","not-started","","folder","TRUE","FALSE","Project QA"
"84ce22ab-2dda-4564-bd6b-134a866d30fc","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Underslab"
"2d1a6297-b913-43ec-b8d0-d83f58c98f01","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Pipework"
"db58ad76-9269-4dc7-9c9c-81fc33d6bc76","","not-started","","folder","TRUE","FALSE","Project QA","Drainage"
"afdaf358-1735-4242-807e-be8c868fe35a","","not-started","Add Drainage checks","checklist","FALSE","FALSE","Project QA","Drainage","Drainage"
"bcb98bbc-eb0a-486f-97e0-02273cc0c5ef","","no-status-not-started","","folder","TRUE","FALSE","Project QA","First Fix"
"b149b5bd-9dac-43d5-99d7-0a792397fc22","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Second Fix"
"ee2106c5-dcf1-4d9f-8152-69233a586093","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Others"
