"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e1fd6e94-93c8-4fba-a3a2-3e4a5da932d8","","fail","","folder","TRUE","FALSE","Stage 1b"
"e45c7b71-dcf2-4e7c-8387-b206ea2938d8","","work-in-progress","Drainage","checklist","FALSE","FALSE","Stage 1b","Phase 1"
"db44a80d-baea-4340-9448-7599b244d030","","pass","Drainage","checklist","FALSE","FALSE","Stage 1b","Phase 2"
"96fdd5fa-b0f6-4d96-a6e9-f1e4597ebfe6","","pass","Drainage","checklist","FALSE","FALSE","Stage 1b","Phase 3"
"3c033404-0f4e-4082-9366-76ab724999d9","","work-in-progress","Drainage","checklist","FALSE","FALSE","Stage 1b","Phase 4"
"98f40fb9-9cb8-4351-afae-0119a6a3652c","","fail","Drainage","checklist","FALSE","FALSE","Stage 1b","Phase 5"
"4f790e39-3dfe-4067-822e-d1195ed7afd2","","no-status-not-started","","folder","TRUE","FALSE","Stage 1b","Services"
"19cd4693-99c9-4733-8f4e-ff3496811390","","work-in-progress","","folder","TRUE","FALSE","Stage 1b","Phase 6"
"7b754a21-dfc8-4a57-9069-4d612a639f13","","work-in-progress","Drainage","checklist","FALSE","FALSE","Stage 1b","Phase 6","Drainage"
"1af4f994-5c56-45a1-b043-8bfe4f3626e5","","not-started","","folder","TRUE","FALSE","Stage 1b","Phase 7"
"522d5095-a5d8-42a4-945c-e61113569d0a","","not-started","Drainage","checklist","FALSE","FALSE","Stage 1b","Phase 7","Drainage"
"c9d35c92-4969-4779-9d30-86cc94a606f9","","not-started","","folder","TRUE","FALSE","Stage 2"
"8f900056-5af1-4e36-886f-69d54f1ce67f","","no-status-not-started","","folder","TRUE","FALSE","Stage 2","Sewer Pump Station 3"
"8122c05f-ca9f-4252-9540-a7b178bbd8b6","","no-status-not-started","","folder","TRUE","FALSE","Stage 2","Catchment 5 "
"5d9bda82-ad98-46a5-bac3-229478694428","","no-status-not-started","","folder","TRUE","FALSE","Stage 2","SW Works SWMH 2 - SWMH6"
"72742f55-bf06-4397-aa67-988a38387ff2","","no-status-not-started","","folder","TRUE","FALSE","Stage 2","SW Works SWMH W4 - SWRE -W7"
"f7698f71-4b5b-4e57-a370-9c3e6a78a37b","","no-status-not-started","","folder","TRUE","FALSE","Stage 2","SS works - SSMH3 - SSMH5"
"08dc0330-c1cd-4fd2-8c48-3b3f77dcbb86","","no-status-not-started","","folder","TRUE","FALSE","Stage 2","SS Works - SSMH(P2)10 - SSMH (P2)14"
"05746925-dc7f-470b-b1ab-c87c44f1f57e","","no-status-not-started","","folder","TRUE","FALSE","Stage 2","Sewer Rising Main"
"987ccb39-5558-406a-8bb8-75327bca6383","","not-started","","folder","TRUE","FALSE","Stage 2","Lombardi Ave"
"eb7a72ca-deea-411b-b14e-42a6334be2fe","","not-started","Drainage","checklist","FALSE","FALSE","Stage 2","Lombardi Ave","Drainage"
