"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bb8e31b9-9548-4ddd-8fe0-c0eae6acc5dd","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"4f555d65-cd2d-4a23-996e-ac3190893640","","pass","","folder","TRUE","FALSE","Project QA","Underslab"
"70c256bc-0c2c-4950-9638-311bf5fb9c46","","pass","Add Underfloor checks","checklist","FALSE","FALSE","Project QA","Underslab","Underfloor"
"0fc4aca9-bebd-49c6-8c39-280b8a02385c","","not-started","","folder","TRUE","FALSE","Project QA","Sleeves"
"10417d63-32e9-4876-a1d6-4438cf21f85f","","not-started","Add Underfloor checks","checklist","FALSE","FALSE","Project QA","Sleeves","Underfloor"
"32ed35a4-e41d-4bad-8caf-d913a33dd2c3","","work-in-progress","","folder","TRUE","FALSE","Project QA","Drainage"
"a447b58c-e49d-4dee-9185-719d87fbeaa6","","work-in-progress","Add Drainage checks","checklist","FALSE","FALSE","Project QA","Drainage","Drainage"
"d4d0d665-0bf9-4311-a05a-076b9be29e84","","not-started","","folder","TRUE","FALSE","Project QA","First Fix"
"eacdad4c-9b1e-49df-a721-9f25f7d4e298","","not-started","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix"
"e0c8b2e1-e72e-4891-9b37-5acd52d939c3","","not-started","","folder","TRUE","FALSE","Project QA","Second Fix"
"4e48c636-bb81-471c-a849-44d29b52b911","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","Second Fix","Second Fix"
"6ebbb691-af3e-4b4f-9e6c-56c47ed7d158","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Others"
"2931300e-c5e4-4475-8597-3930c12fc4d5","","pass","Add Underfloor checks","checklist","FALSE","FALSE","Project QA","Downpipes in footings "
