"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"498de0ad-a856-4dda-9b77-c587803c2db2","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"239199ae-1297-4b74-9ff7-18c7c0423f72","","not-started","","folder","TRUE","FALSE","Project QA","Underslab"
"df36db20-3659-4412-95d1-d46f5c439c72","","not-started","Add Underfloor checks","checklist","FALSE","FALSE","Project QA","Underslab","Underfloor"
"85bb6783-ec6b-47fc-82be-b851838d2d44","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Pipework"
"b9c9282e-1f6a-4ed2-8e56-2efc2aa9d890","","work-in-progress","","folder","TRUE","FALSE","Project QA","Drainage"
"d82ae08c-5902-422a-a691-45635f168914","","work-in-progress","Add Drainage checks","checklist","FALSE","FALSE","Project QA","Drainage","Drainage"
"a58770c8-b54b-4461-bcd0-9b1227845b03","","work-in-progress","","folder","TRUE","FALSE","Project QA","First Fix"
"ebf01693-4c5b-462c-af21-2665811e0f05","","work-in-progress","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix"
"61d261a2-f23c-4cf6-a7d4-a35a6a44ab5d","","not-started","","folder","TRUE","FALSE","Project QA","Second Fix"
"14a51cfa-99c3-4aff-8101-13ef043ee5dd","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","Second Fix","Second Fix"
"8db2a38c-5089-4bc5-8102-c49d8532e241","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Others"
