"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-flat",,"","checklist","Pre Installation","",,,84,"Yes","Pre Installation","599e3db3-29ce-42b4-a71e-78f17e548a1d"
"checkpoint-status",,"","checkpoint","Upstands in good condition"
"checkpoint-status",,"","checkpoint","Upstands Caulked/Waterproofed"
"checkpoint-status",,"","checkpoint","Grid lines provided"
"checkpoint-status",,"","checkpoint","Benchmarks provided"
"checkpoint-status",,"","checkpoint","Area Clean and Dry"
"checkpoint-status",,"","checkpoint","Loading Platforms in place"
"checkpoint-status",,"","checkpoint","Floor cleared of obstruction for facade installation"
"checkpoint-status",,"","checkpoint","Others (Please Specify) - Add a comment"

"checklist-sectioned",,"","checklist","Post Installation","",,,84,"Yes","Post Installation","af8b3da7-3d8f-4cda-b7ff-49c2caa387e0"
"checkpoint-group",,"","section","Progressed / Free From Damage"
"checkpoint-status",,"","checkpoint","Sub-Frames and Trims"
"checkpoint-status",,"","checkpoint","Corners and Posts"
"checkpoint-status",,"","checkpoint","Window Framing"
"checkpoint-status",,"","checkpoint","Doors / Side Screens"
"checkpoint-status",,"","checkpoint","Glass"
"checkpoint-status",,"","checkpoint","Thresholds / Seals"
"checkpoint-group",,"","section","Operational / Function"
"checkpoint-status",,"","checkpoint","Operational / Function"
"checkpoint-status",,"","checkpoint","Doors"
"checkpoint-status",,"","checkpoint","Windows"
"checkpoint-status",,"","checkpoint","Hardware"
"checkpoint-status",,"","checkpoint","Auto unit installed"
"checkpoint-status",,"","checkpoint","Tape Protection"
"checkpoint-status",,"","checkpoint","Caulking"
"checkpoint-status",,"","checkpoint","Micos supervisor checked"
"holdpoint",,"","signoff","Signed off by Micos supervisor"

