"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"df298116-9e44-4254-a6a4-90503c2b88a7","","fail","","folder","TRUE","FALSE","Site QA"
"21cad415-329b-4d46-982a-40f34abf8d04","","pass","Inground works","checklist","FALSE","FALSE","Site QA","Inground Works"
"9a560122-d01e-4fb3-b607-aa0b0ffd353c","","work-in-progress","Commercial Kitchen","checklist","FALSE","FALSE","Site QA","Commercial Kitchen (Basement)"
"4778d249-c5e7-4008-9d9c-fc31af04c74a","","pass","","folder","FALSE","FALSE","Site QA","Penetrations"
"f097c5ce-cc0d-487f-874f-276c1883f326","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Mezzanine"
"922a6d47-7208-4b22-8437-92adf0f328a6","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Lower Ground"
"06f84186-6002-4e84-a35e-55107bcfddff","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Upper Ground"
"395d8206-0b18-473c-8c8f-674c269706d2","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 1"
"2fc46036-d326-42d9-841f-139c329aaf72","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 2"
"cbd9fc8a-d24f-4221-9c64-242cb5e60bfa","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 3"
"d89bad46-66ca-45fd-a4c2-e2fcec59ea8c","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 4"
"074fc8b3-4418-46cb-9f72-8aed7db26f24","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 5"
"ef423374-5f66-4b55-9293-0febf355e757","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 6"
"5a368968-a929-4e71-a469-1ee1e0959025","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 7"
"c1f67faa-073b-4664-81e0-d690535e6f0d","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 8"
"bafba1e5-4077-47b3-b7cf-bd0a28906b82","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 9"
"7aabfcfb-d7ad-478b-9e5e-36cb0a886816","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 10"
"5349b669-e872-4905-aeba-3926b1e7df1f","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 11"
"98c4524a-3a0e-41e4-9770-ec7f3c3e3abd","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 12"
"e3bc0973-95ad-4c97-a417-7c2162ebe767","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 13"
"9e88be96-d87b-4539-9ec9-223db50a940d","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 14"
"8f58017e-67be-4ad2-9368-32b9c6a8ce54","","pass","Penetrations","checklist","FALSE","FALSE","Site QA","Penetrations","Level 15"
