resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,step,,,Site QA,,,,,,,,
Lobby Checklist,,,checklist,,,,Ground Floor,,,,,,,
,,,step,,,,Level 1,,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,101,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,102,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,103,,,,,,
,,,step,,,,Level 2,,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,201,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,202,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,203,,,,,,
,,,step,,,,Level 3,,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,301,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,302,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,303,,,,,,
,,,step,,,,Level 4,,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,401,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,402,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,403,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,404,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,405,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,406,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,407,,,,,,
,,,step,,,,Level 5,,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,501,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,502,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,503,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,504,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,505,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,506,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,507,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,508,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,509,,,,,,
,,,step,,,,Level 6,,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,601,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,602,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,603,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,604,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,605,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,606,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,607,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,608,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,609,,,,,,
,,,step,,,,Level 7,,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,701,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,702,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,, ,703,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,704,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,705,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,706,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,707,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,708,,,,,,
"Kitchen, Lounge & Dining Checklist",Bathroom & Laundry Checklist,External Wet Areas Checklist,folder-with-checklists,,,,,709,,,,,,
,,,step,,,,Level 8,,,,,,,
