"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6ae5f494-0463-4ad5-a3a5-774cae30d614","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA"
"dc0a4c0a-46ef-4245-aa19-7d7403b19b8c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Stormwater"
"75d1e6f2-5e53-427d-b5b3-5f88de3242c5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Stormwater","N0"
"59bee503-33bd-43a6-8172-ad1241fe0f37","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Stormwater","N1"
"6c5a08ad-8035-4718-9971-b557e514e446","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Stormwater","N2"
"bce27650-9030-4b71-8810-d2cf2fdb3b98","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Stormwater","N3"
"80c46f3f-d4e5-4085-9926-572eb7ff2e60","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Stormwater","N4"
"a1a3d6cd-10e6-4deb-a073-59f9e6b4cc9f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Stormwater","N5"
"5542c43c-015d-4ee6-ab6e-73b22cbb7a65","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Stormwater","N6"
"6caebf91-d657-4418-be0f-6f65b4e79a31","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Stormwater","N7"
"886d65dc-21d3-4258-9ad0-03454e4e60dc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Stormwater","N8"
"cb34f63f-b5fe-47ad-abcc-2447b31bc454","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Stormwater","N9"
"749ae2e5-1c3b-4d93-9d33-ba7f5da6adb5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Stormwater","N10"
"048f4352-1f05-436a-b4b1-e5d939d80808","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Wastewater"
"3217804c-8dd4-4c95-870f-a816ef8cca54","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Wastewater","Network Line K"
"8ce43742-1f17-4833-8a84-2aa08c167ff4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Wastewater","Network Line L"
"1e3829e9-c74c-4673-9163-0504c071f0f6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Wastewater","Network Line N"
"f4e0bd73-737a-4e41-a0d2-b7a5aeaed209","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Wastewater","Network Line M"
"c3616573-ba11-4098-85e7-b888a86c2062","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Wastewater","Network Pressure Main 02"
"c63d08f3-d340-41a5-81c2-366b444d5738","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Wastewater","Network Pressure Main 03"
"c0f9987a-e7e2-48a4-a07c-a43a3feea198","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Wastewater","Network Pressure Main 04"
"27b45eba-d513-4ffa-8035-d59d7d13238b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Watermain"
"6acd2cd0-1c19-418c-b390-bd44b7a7ddf0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Watermain","Trunk Watermain (RSW001-560)"
"23556f1c-1055-4896-999c-ce2355990736","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Watermain","Trunk Watermain (RSW001-450)"
"8f1e002a-142e-4d47-b5b5-cf559cae98b5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Watermain","Trunk Watermain (RSW002-560)"
"5c92e366-6bef-4e8d-b918-de56224bdc78","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Watermain","Trunk Watermain (RSW002-450)"
"7de0af67-90ba-4b34-8b84-9a66e110ffee","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Watermain","250 Dia PVC Watermain"
"e57f392b-6da3-47c4-a73f-c5a9693373c3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Watermain","150 Dia PVC Watermain"
"101fe4d4-03e6-4a46-b354-4125da728f0a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Watermain","250 Dia Bulk Watermain"
"2414d114-f458-49e4-b23d-199a2ba10722","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Utility Services"
"152c75c4-0ba7-4157-abc8-e7bce5277b5f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Utility Services","Area 1"
"dc79a09a-7fcc-4792-be2d-38a8909e34d3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Utility Services","Area 2"
"53f10872-9037-4fda-a7b1-551c30c90e22","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Utility Services","Area 3"
"a8139eff-e416-415f-af83-fdfea80724a0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Utility Services","Peacockes Road"
"e1bdbfca-d996-412e-a3ca-2cc2a8052fcf","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Earthworks"
"a54e6400-2fb8-4cf2-aa66-50b406b95e9e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Earthworks","Area 1"
"5fcedea3-fd57-4a1b-a57e-c15dd63d2077","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Earthworks","Area 2"
"149fef4f-92dd-494d-ab0c-ad61d8cbc369","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Earthworks","Area 3"
"40d4a1e6-bf52-48c6-a4b2-16270c54bf4e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Earthworks","Peacockes Road"
"c7732be6-e52e-46f4-aacf-af7510f80f96","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Pavement"
"20e04964-8326-481d-9586-6764430b5d64","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Pavement","Area 1"
"088f72a1-b71f-40c9-8246-c9f3d5cd41f9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Pavement","Area 2"
"8035fc3c-9496-4e6d-887c-4a5cd136b375","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Pavement","Area 3"
"3efc2658-663d-493c-a382-7434e5afc466","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Pavement","Peacockes Road"
"d0aaa639-674d-4c35-8707-5ecb09db5f32","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Surfacing"
"5001f1c7-049b-4e92-a29d-f7dc48765060","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Surfacing","Area 1"
"e5060d41-3ec6-4058-874a-72b0cb7fb802","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Surfacing","Area 2"
"930b055d-dfd1-4cfc-9e4c-8610386dc472","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Surfacing","Area 3"
"1333b98b-4737-4dfd-947e-1684739ebedb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Surfacing","Peacockes Road"
"92ab87d8-2407-4f5e-a79c-5581e5ad9e33","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Street Lighting"
"14c43dfe-4e72-46e5-8e8e-6ccd251a19c7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Street Lighting","Area 1"
"f9e93fdd-b21b-48f1-a4e0-b7c92b21a243","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Street Lighting","Area 2"
"e2427134-f227-49ac-8412-a8cf07f2c2be","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Street Lighting","Area 3"
"54925c19-fd1e-4533-9d01-27a9fa6a6270","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Street Lighting","Peacockes Road"
"ff718337-b4f5-42b1-9de3-0486671588e1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Traffic Signals"
"5f0771ab-6823-49d2-b8ed-2f0c4f0d2e6b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Traffic Signals","Whatakooruru Drive/ Peacockes Road"
"d645f4fb-c196-44fa-9064-b1d06d9692a6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Traffic Signals","Whatakooruru Drive/ RS05"
"74d4aa32-5ba9-4382-895f-d6f8ae959ebb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Traffic Signals","Whatakooruru Drive/ RS06"
"0e4eb7a9-89e6-4007-823e-1dec22dcccbb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Traffic Signals","Peacockes Road/ RS21"
"5bf6968a-7a98-43e6-92c0-f904b57da980","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Traffic Signals","Peacockes Road/ RS22"
"d62d02b1-7770-4a5a-b6a9-b2827c4086d5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Barriers, Signs and Markings"
"7d5964eb-ecf0-4160-9015-b9a4860aef5c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Barriers, Signs and Markings","Area 1"
"a11f0e08-1362-427f-a9d0-b7b3bea50ad6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Barriers, Signs and Markings","Area 2"
"61b991aa-4261-446c-9547-636247a8988d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Barriers, Signs and Markings","Area 3"
"6144e07d-0c94-44fe-8764-8386b89f96f1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Barriers, Signs and Markings","Peacockes Road"
"b1bb4e7b-2f9c-4c99-ac42-def891227c56","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Eastern Gully Bridge"
"de8be510-5de2-4fc6-9954-1716e9af2414","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Eastern Gully Bridge","Retaining Wall"
"5f9bb0b8-97d1-43cf-8310-03202ab549f0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Eastern Gully Bridge","Piling"
"ec1bc14e-b532-455e-8d03-969ab81243a7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Eastern Gully Bridge","Columns"
"fd98ee55-96da-46ec-97b5-b0afe61ea07f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Eastern Gully Bridge","Crossheads"
"8687aa8c-6ccd-4606-879b-5e5f6a069625","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Eastern Gully Bridge","Precast Bridge Beams"
"8534dc3a-37a2-4438-b6bc-f1a18ef585fe","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Eastern Gully Bridge","Settlement Slabs"
"e5c0f848-922c-47d3-8a3d-ffd1ecea2695","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Eastern Gully Bridge","Bridge Deck & Crosshead"
"272e075e-3c7f-4c05-8172-47e225660a8d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Eastern Gully Bridge","Bridge Barriers"
"92495931-256b-4486-b9ab-46958819e7d8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Eastern Gully Bridge","Bridge Services"
"1d414123-08c0-4845-81cf-541d1e2e42e8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Mangakootukutuku Bridge"
"6d373918-5187-4033-8bd5-f888eb80156c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Mangakootukutuku Bridge","Retaining Wall"
"14230244-df30-4dd6-9fa3-168a28aa6605","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Mangakootukutuku Bridge","Piling"
"3dec6b79-54f7-4509-ae49-bb46f594177e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Mangakootukutuku Bridge","Columns"
"4ffa4f03-ace2-4bda-ad7f-12fcc5ada906","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Mangakootukutuku Bridge","Crossheads"
"7f559bf3-9ecb-4209-afd6-420f739f15c3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Mangakootukutuku Bridge","Precast Bridge Beams"
"d1c01185-25b2-41be-a9ea-5553c6a997d1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Mangakootukutuku Bridge","Settlement Slabs"
"b87637c3-39b4-4af2-ad93-2acb7c385151","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Mangakootukutuku Bridge","Bridge Deck & Crosshead"
"0b1ec0d3-9d63-432c-9093-c97e4f59e829","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Mangakootukutuku Bridge","Bridge Barriers"
"0f70c10c-64d4-4d07-b65c-475a664dc04b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Mangakootukutuku Bridge","Bridge Services"
