"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0dee120f-46ff-40b6-bc27-9abdf9a34d7f","","work-in-progress","","folder","TRUE","FALSE","NORTH"
"a561e2c3-9089-46e1-93ae-35be27ef0fd8","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-01"
"6cac4cd1-ea15-45b8-a69b-40d42b208538","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-02"
"5a48c1ed-07ed-4e9e-8472-66f688464e08","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-03"
"b9e47287-e9ad-42f7-a9c8-8e0292417a23","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-04"
"9e7245d1-007c-4654-8d8b-42e7aa4d151b","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-05"
"a9b9cadd-c16e-4df0-8ced-ee42c5042276","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-06"
"72b03d64-cbdc-4804-9bc3-ceea7c47385a","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-07"
"ea5f9bae-da71-4262-ba74-355915de1879","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-08"
"32d81a2f-b628-47f9-8702-38b0cfe29d19","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-09"
"35a0cb42-6e52-4fba-834e-0fdf9c6164f6","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-10"
"3aa92845-a561-4927-89c4-992a0caf8d44","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-11"
"b5aebbc8-5ac5-44b9-90a3-fca94f7a4828","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-12"
"f421a23b-822d-4e89-b52c-52d2882f6ee8","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-13"
"7edb37d1-6ae5-4d2f-a876-8f85f91bd6fb","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-14"
"2ec45943-4f0e-45f6-b946-7a55faf3cfba","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-15"
"ea0c1e38-299f-4107-8e1d-273e98aeae6c","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-16"
"34f007f2-3117-45a3-a04a-264c7ed36d5a","","work-in-progress","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-17"
"312b1094-9975-4f81-b0e5-db0ca6d9c896","","not-started","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-18"
"8b6d86b9-17ed-4762-813d-d7e4f506ebcc","","not-started","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-19"
"399fee35-d239-4363-9953-682e61411836","","not-started","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-20"
"50e1683f-9923-4861-a52d-6715600b17b5","","not-started","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-21"
"b4181949-a0ee-4f40-b07e-0fe7a74330ed","","not-started","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-22"
"f27eb832-0367-456e-a03b-a3a8cc78688e","","not-started","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-23"
"53c2c899-bc45-4c02-9b59-822450c73973","","not-started","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-24"
"b6146672-c910-4048-b273-590328bcdf69","","not-started","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-25"
"dffaec97-47c9-4c54-9a0d-06813c8a47b6","","not-started","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-26"
"302e7754-19c0-4b59-9a79-7720fbd5761f","","not-started","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-27"
"67e600c5-7b4f-410b-8d7f-ad7f3e93e737","","not-started","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-28"
"d68d27d6-5b2f-4fa9-b99d-e03c8fddbf46","","not-started","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-29"
"0658beaa-ff84-4fb8-a5b4-779cccfc0357","","not-started","Seismic Suite (Structurally Glazed Curtain Wall)","checklist","FALSE","FALSE","NORTH","NW-30"
"19beb1d3-3089-47ba-a77d-0da9fc78db96","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","NORTH","NW-Auto door"
