"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3f3d24c9-d682-41fd-adfe-20ece4485e91","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"334d4c61-e90c-42ba-bb87-864db8ab9edf","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 1"
"878d7b2f-0654-4c8c-9241-93ec5f0825b2","","checklist-flat","not-started","d49c79d091f910f7bca3ae2e773f07283c6fe70dc7efa6233285b050da06f176","checklist-flat","FALSE","FALSE","Site QA","Basement 1","Fire Pump Room"
"b2aca245-17e3-43bc-9e57-2873f5427006","","checklist-flat","not-started","5fb545eda06e29f621d8c6918f7524bc28eeafaffbdb4f7b9400156c0994213c","checklist-flat","FALSE","FALSE","Site QA","Basement 1","Future Hydrant Water Storage Tanks"
"44bdda7a-e6f0-460b-a443-42000be9a2e8","","checklist-flat","not-started","d49c79d091f910f7bca3ae2e773f07283c6fe70dc7efa6233285b050da06f176","checklist-flat","FALSE","FALSE","Site QA","Basement 1","Recycle & Waste Room"
"203eabc6-5a5e-4c9b-bd89-b993f7c583b4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ground"
"acf7b974-95ff-4195-892a-e80db5b33b78","","checklist-flat","not-started","d49c79d091f910f7bca3ae2e773f07283c6fe70dc7efa6233285b050da06f176","checklist-flat","FALSE","FALSE","Site QA","Ground","W/C"
"317ee20c-ed6e-4b2b-be12-190268d62f25","","checklist-flat","not-started","d49c79d091f910f7bca3ae2e773f07283c6fe70dc7efa6233285b050da06f176","checklist-flat","FALSE","FALSE","Site QA","Ground","Pool Deck"
"f797b2bb-3670-4f2d-a846-c8ef6b910a41","","checklist-flat","not-started","d49c79d091f910f7bca3ae2e773f07283c6fe70dc7efa6233285b050da06f176","checklist-flat","FALSE","FALSE","Site QA","Ground","Pool House, BBQ Area & Pool Amenities Roof"
"901cbda7-0070-4f0a-9f46-886a37f33056","","checklist-flat","not-started","d49c79d091f910f7bca3ae2e773f07283c6fe70dc7efa6233285b050da06f176","checklist-flat","FALSE","FALSE","Site QA","Ground","Pool House, BBQ Area & Pool Amenities Planters"
"0dad5c83-d820-4eff-a8bb-a3edafdf68c2","","checklist-flat","not-started","d49c79d091f910f7bca3ae2e773f07283c6fe70dc7efa6233285b050da06f176","checklist-flat","FALSE","FALSE","Site QA","Ground","Pool House, BBQ Area & Pool Amenities Block Wall"
"057d2075-9c7b-43db-808b-33ca3acc55a6","","checklist-flat","not-started","d49c79d091f910f7bca3ae2e773f07283c6fe70dc7efa6233285b050da06f176","checklist-flat","FALSE","FALSE","Site QA","Ground","Pool House Pool Pump/ Store Room/ Mech Switch Board"
"a3c8f1cd-7229-43f0-a14e-9951f1d42060","","checklist-flat","not-started","d49c79d091f910f7bca3ae2e773f07283c6fe70dc7efa6233285b050da06f176","checklist-flat","FALSE","FALSE","Site QA","Ground","Pool Structure"
"c8ee0a27-533b-4146-b3bc-2e891f041d3b","","checklist-flat","not-started","d49c79d091f910f7bca3ae2e773f07283c6fe70dc7efa6233285b050da06f176","checklist-flat","FALSE","FALSE","Site QA","Ground","Entry Pool Fountain"
"bb72b6ee-a80d-484d-82bc-88f865746352","","checklist-flat","not-started","d49c79d091f910f7bca3ae2e773f07283c6fe70dc7efa6233285b050da06f176","checklist-flat","FALSE","FALSE","Site QA","Ground","External Tiled Areas"
"6b0ffa32-908d-4f12-8cab-bb9118bcbaf8","","checklist-flat","not-started","d49c79d091f910f7bca3ae2e773f07283c6fe70dc7efa6233285b050da06f176","checklist-flat","FALSE","FALSE","Site QA","Ground","Planter Boxes"
