ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Stage 1 - B01 Overall Progress"
,"Scope",,,"stage 1 - b01"
,"Rows"
,,"Ground Floor - Area A","grouping","ground floor - area a"
,,"Café","expanded","ground floor - area a","stage 1 - b01","café"
,,"Toilet Lobby","expanded","ground floor - area a","stage 1 - b01","toilet lobby"
,,"ACC WC","expanded","ground floor - area a","stage 1 - b01","acc wc"
,,"WC","expanded","wc","ground floor - area a","stage 1 - b01"
,,"WC","expanded","wc","ground floor - area a","stage 1 - b01"
,,"Sales Office 1","expanded","sales office 1","ground floor - area a","stage 1 - b01"
,,"Sales Office 2","expanded","ground floor - area a","stage 1 - b01","sales office 2"
,,"Cleaner Stairs","expanded","ground floor - area a","stage 1 - b01","cleaner stairs"
,,"Stair 1","expanded","ground floor - area a","stage 1 - b01","stair 1"
,,"Entry","expanded","ground floor - area a","stage 1 - b01","entry"
,,"Reception Desks","expanded","ground floor - area a","stage 1 - b01","reception desks"
,,"Managers","expanded","ground floor - area a","stage 1 - b01","managers"
,,"General Office","expanded","ground floor - area a","stage 1 - b01","general office"
,,"Meeting Room","expanded","ground floor - area a","stage 1 - b01","meeting room"
,,"Valve Room","expanded","ground floor - area a","stage 1 - b01","valve room"
,,"Corridor - Grid 12-15","expanded","ground floor - area a","stage 1 - b01","corridor - grid 12-15"
,,"Corridor - Grid 15-22","expanded","ground floor - area a","stage 1 - b01","corridor - grid 15-22"
,,"Lift 1","expanded","ground floor - area a","stage 1 - b01","lift 1"
,,"Lift 2","expanded","ground floor - area a","stage 1 - b01","lift 2"
,,"Flat Lift","expanded","ground floor - area a","stage 1 - b01","flat lift"
,,"Chemical Store","expanded","ground floor - area a","stage 1 - b01","chemical store"
,,"Inward Goods","expanded","inward goods","ground floor - area a","stage 1 - b01"
,,"Buggy Room","expanded","buggy room","ground floor - area a","stage 1 - b01"
,,"Comms Room","expanded","ground floor - area a","stage 1 - b01","comms room"
,,"Waste Room","expanded","waste room","ground floor - area a","stage 1 - b01"
,,"MSB Room","expanded","ground floor - area a","stage 1 - b01","msb room"
,"Columns"
,,"Hatches",,"hatches"
,,"Flashing Installation",,"flashing installation"
,,"Soffits",,"soffits"
,,"Installation of Aluminium Joinery",,"installation of aluminium joinery"
,,"Windows, Sliders & Sealants",,"windows, sliders and sealants"
,,"Fire door installation",,"fire door installation"
,,"Internal door installation",,"internal door installation"
,,"Handrails",,"handrails"
,,"Hardware Installation",,"hardware installation"
,,"Skirting/Architraves & Trims",,"skirting/architraves & trims"
,,"Installation of Internal carpentry items - Bathroom",,"installation of internal carpentry items - bathroom"
,,"Brick Lintel bars installation",,"brick lintel bars installation"

