"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"11fc48af-6bcd-4c14-b839-e1803e20cfb9","","folder-normal","pass","","step","TRUE","FALSE","EVENTS STAFF MEETINGS"
"6a3ae26e-94ed-41e7-85da-e198495d8f88","","folder-normal","pass","","step","TRUE","FALSE","EVENTS STAFF MEETINGS","2023 STAFF MEETINGS"
"da87f58c-a0d9-52a7-9396-e9112ea53307","","checklist-flat","pass","Add Blank Canvas Checklist","checklist-flat","FALSE","FALSE","EVENTS STAFF MEETINGS","2023 STAFF MEETINGS","EVENTS STAFF MEETING - 22.05.2023"
"b715618c-afcb-4ffd-a68a-68e2d46b5637","","checklist-flat","pass","Add Blank Canvas Checklist","checklist-flat","FALSE","FALSE","EVENTS STAFF MEETINGS","2023 STAFF MEETINGS","EVENTS STAFF MEETING - 24.07.2023"
"858466ae-3fa3-4713-8123-7e5490f320a1","","checklist-flat","pass","Add Blank Canvas Checklist","checklist-flat","FALSE","FALSE","EVENTS STAFF MEETINGS","2023 STAFF MEETINGS","EVENTS STAFF MEETING - 30/11/23"
"de06a381-4bb7-439d-b8d5-e6c1f4aa4bbd","","folder-normal","pass","","step","TRUE","FALSE","EVENTS COMPANY ASSET REGISTER"
"33913b12-2626-4796-9992-af2f85da721a","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0001 - STR GOVERNOR GENERATOR"
"d3ecf12f-f47d-400d-913e-094153fd0a97","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0002 - MILWAUKEE DUAL POWER TOWER LIGHT"
"3ebfb6de-77ab-40d5-a7cb-978e3521fc3c","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0003 - MILWAUKEE REDLITHIUM-ION 4.0Ah BATTERY"
"baf24b86-7e5c-4ba5-b8b4-a420efaf23b7","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0004 - MILWAUKEE MXF COS350-0 CUT-OFF SAW"
"f4a4fae6-7044-492d-9600-9bb5723e95c6","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0005 - MILWAUKEE MXF C BATTERY CHARGER "
"4e861ab0-8454-4bdb-b55f-49ed7a51395c","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0006 - MILWAUKEE MXF XC406 BATTERY PACK"
"8f9d2bae-ee4e-4007-b41d-b527aa2c4b59","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0007 - MILWAUKEE MXF406 BATTERY PACK"
"8e3d7c3a-b0ab-48f1-b28c-2ef0e22785c1","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0008 - MILWAUKEE SWITCH TANK "
"ec03e574-8a17-455e-80fa-528c9039be4d","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0009 - MILWAUKEE M18 BBL BLOWER"
"6ae3290f-36ef-44c6-9cc6-6cc86d903f66","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0010 - MILWAUKEE FAG125XPD ANGLE GRINDER"
"af6c3491-f106-4211-9670-2c468b1b88c7","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0011 - MILWAUKEE FHZ RECIPROCATING SAW"
"4da8ab72-1ca1-46c0-acae-411bf1a4d725","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0012 - MILWAUKEE CCS55 CIRCULAR SAW"
"016cbdb1-de86-4bed-a761-237549964c09","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0013 - MILWAUKEE FPD3 IMPACT DRILL"
"2de6c529-663a-4a9c-98bf-0b5234492bc0","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0014 - MILWAUKEE FID3 IMPACT DRIVER"
"da9a1aba-d675-4182-b90e-4546768e2643","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0015 - MILWAUKEE M12-18FC BATTERY CHARGER"
"d03156e8-0971-4e15-8088-582cf412797c","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0016 - MILWAUKEE REDLITHIUM-ION 5.0Ah BATTERY"
"b36bc5f4-e1fc-400c-a741-332a44dd995a","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0017 - MILWAUKEE REDLITHIUM-ION 5.0Ah BATTERY"
"49132379-55a7-439b-bc56-61a043b754b4","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0018 - MILWAUKEE REDLITHIUM-ION BATTERY"
"d4fdcb37-ffd3-4203-859c-4fd6814e9f4f","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0019 - SITE BOX"
"020e48ba-12e6-4754-be87-25a4cf18ee91","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0020 REMS GASPEX CRIMPER"
"5c1f6e88-f79a-4b01-9519-339d7513f498","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0021 RIFENG PZ-1930 MINI BATTERY PRESS TOOL"
"2eb95f84-c990-4664-97e4-d927db919339","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0022 MAKITA CORDED RECIPROCATING SAW"
"99b3da53-aaf7-4007-b22f-f327c9e533f3","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0023 MILWAUKEE WET/DRY VACUUME"
"4ac980d6-f556-4303-ad4a-30c763b71016","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0024 RYOBI CORDED ANGLE GRINDER"
"47c601cf-5e34-444e-9747-b120410bf530","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0025 CALDER TECH POLY PIPE WELDER"
"ba86b002-f4c1-4312-9cde-fcd7c0a7b6d9","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0026 MAXILINE GSW-208 LASER LEVEL"
