"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b81f74e5-97a6-4f1d-bb47-d6cf30a45d81","","folder-normal","not-started","","step","TRUE","FALSE","QA Plan"
"047a6082-88e8-4963-800d-6a091e6c910d","","checklist-flat","not-started","Sewer BG   (13/08/2020)","checklist-flat","FALSE","FALSE","QA Plan","Sewer BG"
"2f79c6ab-f579-43f0-b878-e33d43ee11b8","","checklist-sectioned","not-started","Fix 1 Checklist (30/11/22)","checklist","FALSE","FALSE","QA Plan","Fix 1"
"c970c1c9-8d78-4e03-8241-ef74649edff3","","checklist-sectioned","not-started","Fix 2 Checklist  (13/08/2020)","checklist","FALSE","FALSE","QA Plan","Fix 2"
"dfdf3740-b720-4304-aafa-759aa84b133d","","checklist-sectioned","not-started","d6490537a45f7d8394bcc9943cd5b26f637895aa4b49b866b3d14042d164a770","checklist","FALSE","FALSE","QA Plan","Corridor"
"862dfa4e-007b-4e0b-b87c-3220d1e48c07","","checklist-flat","not-started","Slab Penetrations Template (13/08/2020)","checklist-flat","FALSE","FALSE","QA Plan","Slab Penetration"
