"","Partition Framing","Partition Lining","Ceiling Framing","Ceiling Lining"
"Lower Font Level"
"Drawings / Documents",,,,
"L001 - Font","not started","not started","not started","not started"
"L002 - Font Service Room","not started","not started","not started","not started"
"L003(FL) - Stair 3","not started","not started","not started","not started"
"Level 01"
"Drawings / Documents",,,,
"L003 - Stair 3 (L1)","not started","not started","not started","not started"
"L004 - Stair 4 (L1)","not started","not started","not started","not started"
"L005 - Stair 5 (L1)","not started","not started","not started","not started"
"L101 - Entry Vestibule","not started","not started","not started","not started"
"L102 - Data","not started","not started","not started","not started"
"L103 - Entry, Recommend Desk","not started","not started","not started","not started"
"L102 - First Aid","not started","not started","not started","not started"
"L105 - Non-Patron Waiting Room","not started","not started","not started","not started"
"L106 - Non-Patron Restroom Lobby","not started","not started","not started","not started"
"L107 - NP. Rest(M)","not started","not started","not started","not started"
"L108 - NP. Rest(F)","not started","not started","not started","not started"
"L109 - Shoes & Coats","not started","not started","not started","not started"
"L110 - Stair Corr.1","not started","not started","not started","not started"
"L111 - Stair Corr.2","not started","not started","not started","not started"
"L112 - Grand Stair (Stair 1)","not started","not started","not started","not started"
"L113 - Administration Waiting Area","pass","not started","not started","not started"
"L114 - Administration","pass","not started","not started","not started"
"L114A - Administration Office","not started","not started","not started","not started"
"L115 - President's Office","not started","not started","not started","not started"
"L116 - President's Corr.","not started","not started","not started","not started"
"L117 - President's Corr.","not started","not started","not started","not started"
"L118 - Matrons Office","not started","not started","not started","not started"
"L119 - Matrons Rest.","not started","not started","not started","not started"
"L120 - Private Office 1","not started","not started","not started","not started"
"L121 - Private Office 2","not started","not started","not started","not started"
"L122 - Storage","not started","not started","not started","not started"
"L123 - Youth Waiting","not started","not started","not started","not started"
"L124 - Youth Rest.","not started","not started","not started","not started"
"L125 - Nursery","not started","not started","not started","not started"
"L126 - Patron Waiting","not started","not started","not started","not started"
"L127A - Workers Dress. Corr.(M)","not started","not started","not started","not started"
"L127B - Workers Dress. Corr.(F)","not started","not started","not started","not started"
"L128 - Workers Dressing Room (M)","not started","not started","not started","not started"
"L129 - Workers Dressing Room (F)","wip","not started","not started","not started"
"L130 - Workers Prep. Corridor","not started","not started","not started","not started"
"L131 - Workers Preparation Room","not started","not started","not started","not started"
"L132 - Break Room","wip","not started","not started","not started"
"L133 - Bap.Dressing Lobby(F)","not started","not started","not started","not started"
"L134 - Baptistry Dressing Rooms (F)","not started","not started","not started","not started"
"L135 - Baptistry Restroom (F)","not started","not started","not started","not started"
"L136 - B.Sh.Corr.(F)","not started","not started","not started","not started"
"L137 - B.Shower (F)","not started","not started","not started","not started"
"L138 - Bap.Dressing Corr.(F)","not started","not started","not started","not started"
"L139 - Baptistry","fail","not started","not started","not started"
"L140 - Confirmation Room 1","wip","not started","not started","not started"
"L141 - Confirmation Room 2","pass","not started","not started","not started"
"L142 - Utility Room 1","not started","not started","not started","not started"
"L143 - Bap.Dressing Lobby(M)","not started","not started","not started","not started"
"L144 - Baptistry Dressing Rooms (M)","not started","not started","not started","not started"
"L145 - Baptistry Rest. (M)","not started","not started","not started","not started"
"L146 - B.Sh.Corr.(M)","not started","not started","not started","not started"
"L147 - B.Shower (M)","not started","not started","not started","not started"
"L148 - Bap.Dressing Corr.(M)","not started","not started","not started","not started"
"L149 - Custodian Corridor","not started","not started","not started","not started"
"L150 - Restroom Lobby","not started","not started","not started","not started"
"L151 - Restroom (F)","not started","not started","not started","not started"
"L152 - Restroom (M)","not started","not started","not started","not started"
"L153 - Custodial Lobby","not started","not started","not started","not started"
"L154 - Middle Stair (Stair 2)","not started","not started","not started","not started"
"L155 - Main Custodial Room","not started","not started","not started","not started"
"L156 - Storage Room","not started","not started","not started","not started"
"L157 - Clothing Issue - Baptistry","not started","not started","not started","not started"
"L157A - Clothing Issue Lobby","not started","not started","not started","not started"
"L158 - Clothing Issue - Rental/Storage","not started","not started","not started","not started"
"L159 - Laundry","not started","not started","not started","not started"
"L160 - Workshop Lobby","not started","not started","not started","not started"
"L161 - Workshop","not started","not started","not started","not started"
"L162 - Workshop - Electrical Room","not started","not started","not started","not started"
"L163 - Workshop Storage","not started","not started","not started","not started"
"L164 - TFM","not started","not started","not started","not started"
"Level 02"
"Drawings / Documents",,,,
"L003 - Stair 3 (L2)","not started","not started","not started","not started"
"L004 - Stair 4 (L2)","not started","not started","not started","not started"
"L005 - Stair 5 (L2)","not started","not started","not started","not started"
"L201 - Level 2 Grand Stair Corridor","not started","not started","not started","not started"
"L202 - Patron Waiting Corridor","not started","not started","not started","not started"
"L203 - Family Assist Restroom","not started","not started","not started","not started"
"L204 - Secondary Custodial Room","not started","not started","not started","not started"
"L205 - Chapel","not started","not started","not started","not started"
"L206 - Initiatory Waiting","not started","not started","not started","not started"
"L207 - Init. 1","not started","not started","not started","not started"
"L208 - Init. 2","not started","not started","not started","not started"
"L209 - Init. 3","not started","not started","not started","not started"
"L210 - Init. 4","not started","not started","not started","not started"
"L211 - Init. 5","not started","not started","not started","not started"
"L212 - Init. 6","not started","not started","not started","not started"
"L213 - Middle Stair (Stair 2)","not started","not started","not started","not started"
"L214 - Instruction Room Corr.1","not started","not started","not started","not started"
"L215 - Inst. Corr.2","not started","not started","not started","not started"
"L216 - Instruction Room Corr.3","not started","not started","not started","not started"
"L217 - Patron Restroom (F)","not started","not started","not started","not started"
"L218 - Int. Corr.4","not started","not started","not started","not started"
"L219 - Instruction Room E1","not started","not started","not started","not started"
"L220 - Veil Room 1","not started","not started","not started","not started"
"L221 - Instruction Room E2","not started","not started","not started","not started"
"L222 - Veil Room 2","not started","not started","not started","not started"
"L223 - Instruction Room E3","not started","not started","not started","not started"
"L224 - Veil Room 3","not started","not started","not started","not started"
"L225 - Instruction Room E4","not started","not started","not started","not started"
"L226 - Veil Room 4","not started","not started","not started","not started"
"L227 - Veil Corridor 2","not started","not started","not started","not started"
"L228 - Veil Corridor 1","not started","not started","not started","not started"
"L229 - Service Riser","not started","not started","not started","not started"
"L230 - Service Riser","not started","not started","not started","not started"
"L231 - Celestial Lobby","not started","not started","not started","not started"
"L232 - Celestial Room","not started","not started","not started","not started"
"L233 - Utility Room 2","not started","not started","not started","not started"
"L234 - Patron Dressing Corr.(F)","not started","not started","not started","not started"
"L235 - Patron Dressing Room (F)","not started","not started","not started","not started"
"L236 - Bride's Room","not started","not started","not started","not started"
"L237 - Bride's Restroom","not started","not started","not started","not started"
"L238 - Bride's Dressing 1","not started","not started","not started","not started"
"L239 - Bride's Dressing 2","not started","not started","not started","not started"
"L240 - Name Issue (F)","not started","not started","not started","not started"
"L241 - P. Dressing Corr.(M)","not started","not started","not started","not started"
"L242 - Patron Dressing Room (M)","not started","not started","not started","not started"
"L243 - Patron Rest.(M)","not started","not started","not started","not started"
"L244 - Name Issue (M)","not started","not started","not started","not started"
"L245 - Level 2 Hallway","not started","not started","not started","not started"
"L246 - Storage","not started","not started","not started","not started"
"L247 - Sealing Room Corr.1","not started","not started","not started","not started"
"L248 - Sealing Room Corr.2","not started","not started","not started","not started"
"L249 - Sealing Room 3 Corr.1","not started","not started","not started","not started"
"L250 - S3.Corr.2","not started","not started","not started","not started"
"L251 - Sealing Room 1","not started","not started","not started","not started"
"L252 - Sealing Room 2","not started","not started","not started","not started"
"L253 - Sealing Room 3","not started","not started","not started","not started"
"L254 - S. Clos.","not started","not started","not started","not started"
"Mech Level"
"Drawings / Documents",,,,
"L003 (ML) - Stair 3","not started","not started","not started","not started"
"L010 - Riser","not started","not started","not started","not started"
"L011 - Riser","not started","not started","not started","not started"
"L012 - Riser","not started","not started","not started","not started"
"L013 - Riser","not started","not started","not started","not started"
"L014 - Riser","not started","not started","not started","not started"
"L015 - Riser","not started","not started","not started","not started"
"L016 - Riser","not started","not started","not started","not started"
"L017 (ML) - Riser","not started","not started","not started","not started"
"L301 - Middle Stair (Stair 2)","not started","not started","not started","not started"
"L302 - Mechanical Room","not started","not started","not started","not started"
"L303 - AV Room","not started","not started","not started","not started"
"L304 - Distribution Board","not started","not started","not started","not started"
"L305 - UPS Room","not started","not started","not started","not started"
"L306 - Boiler Room","not started","not started","not started","not started"
"L307 - Trafficable Ceiling Space - Above Sealing Room","not started","not started","not started","not started"
"L308 - Trafficable Ceiling Space - Above Celestial Room","not started","not started","not started","not started"
"L309 - South W. Parapet","not started","not started","not started","not started"
"L310 - North W. Parapet","not started","not started","not started","not started"
"L311 - North Parapet","not started","not started","not started","not started"
"L312 - North E. Parapet","not started","not started","not started","not started"
"L313 - South E. Parapet","not started","not started","not started","not started"
"L314 - South Parapet","not started","not started","not started","not started"
"L315 - Chiller Room","not started","not started","not started","not started"
