"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bed8abd1-1c80-4c04-b464-ede749650133","","work-in-progress","","folder","FALSE","FALSE","MGMT Site Safety Inspections"
"a8fec07a-7266-43ec-893e-9ad6dce1174c","","work-in-progress","","folder","FALSE","FALSE","MGMT Site Safety Inspections","2024"
"b2fbe28e-aaaf-562e-9c3c-1abb691c5167","Child Reviews(4b3f0d18-bf9c-5137-b452-917d0048afd6) -- Reviewed & Signed(d29e3ca7-0d92-5de2-8585-c7197ecb2d09): Data not allowed on signoff Request Signature(28bdab05-50d7-5e79-9d3e-e4fae48620bb): Completed By:(74c1f64c-8200-4b1f-8b6c-2593744582ff), Date:(75c57348-fdd1-4fb4-b0a7-66246e370e10), Reviewed by:(a1abf918-251d-4cb8-a99e-904ff4567c9f), Date:(37cbb053-2395-40a3-aabe-985c860bf607)","work-in-progress","b6d6b7e79e3a550c8c33b9782639a86e233c192338a859e21f4493c1186c48f5","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WPC_Site Safety Inspection_BD_07032024"
"10923a0d-650f-552e-8643-592a427758a4","Child Reviews(05d7954d-ae6b-59ec-9dc2-3e0fcdd6c945) -- Reviewed & Signed(b60822cc-592c-54c9-a4f3-97a80ac4a0f6): Data not allowed on signoff Request Signature(9f863e5f-f6f4-59b5-bbbf-a82bf28febfa): Completed By:(74c1f64c-8200-4b1f-8b6c-2593744582ff), Date:(75c57348-fdd1-4fb4-b0a7-66246e370e10), Reviewed by:(a1abf918-251d-4cb8-a99e-904ff4567c9f), Date:(37cbb053-2395-40a3-aabe-985c860bf607)","work-in-progress","b6d6b7e79e3a550c8c33b9782639a86e233c192338a859e21f4493c1186c48f5","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WPC_Site Safety Inspection_JB_05042024"
"263f454a-4a7f-504b-bcde-2d3777a76adb","Child Reviews(1d2a203f-58e0-59b5-b0ed-30b9360b1f24) -- Reviewed & Signed(18a0bf7e-fe51-54b1-b4c3-d808746d8237): Data not allowed on signoff Request Signature(efebb958-029d-5f33-a341-a4b345213986): Completed By:(74c1f64c-8200-4b1f-8b6c-2593744582ff), Date:(75c57348-fdd1-4fb4-b0a7-66246e370e10), Reviewed by:(a1abf918-251d-4cb8-a99e-904ff4567c9f), Date:(37cbb053-2395-40a3-aabe-985c860bf607)","work-in-progress","b6d6b7e79e3a550c8c33b9782639a86e233c192338a859e21f4493c1186c48f5","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WREO_Site Safety Inspection_JB_11042024"
"d856a7ae-a624-5340-8bd5-2398e94fb6b0","Child Reviews(c7b2dfbe-5133-5cfb-b6ee-144a83fb4b9e) -- Reviewed & Signed(3514b890-84e1-5573-a1cf-8c01e4f97f9a): Data not allowed on signoff Request Signature(d00f9b0f-76ce-5895-9496-d09f3a0b95fe): Completed By:(74c1f64c-8200-4b1f-8b6c-2593744582ff), Date:(75c57348-fdd1-4fb4-b0a7-66246e370e10), Reviewed by:(a1abf918-251d-4cb8-a99e-904ff4567c9f), Date:(37cbb053-2395-40a3-aabe-985c860bf607)","pass","57c6e5c3a78f27e5962155d8114e8338703cc21e49389fb3ddbac1426243b20b","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WREO_Site Safety inspection_AA_03052024"
"c80cac6a-1f66-533b-9ae1-cbc20496134b","Child Reviews(790b0110-732b-5ed9-847b-689b0b74eeec) -- Reviewed & Signed(7b925747-bcf0-5754-be83-30559a234f2c): Data not allowed on signoff Request Signature(ae369c2d-c256-5bef-b155-0f346815aa53): Completed By:(74c1f64c-8200-4b1f-8b6c-2593744582ff), Date:(75c57348-fdd1-4fb4-b0a7-66246e370e10), Reviewed by:(a1abf918-251d-4cb8-a99e-904ff4567c9f), Date:(37cbb053-2395-40a3-aabe-985c860bf607)","work-in-progress","57c6e5c3a78f27e5962155d8114e8338703cc21e49389fb3ddbac1426243b20b","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WPC_Site Safety inspection_JC_31052024"
"99910fd0-f446-59e1-b78e-ffa8980fd99a","Child Reviews(c80e4f66-6f31-562c-ad26-c31ff76e6ee1) -- Reviewed & Signed(e5af78f9-4d96-59b5-ab0e-d78cface1e19): Data not allowed on signoff Request Signature(f8233cf5-dd67-53fd-9a39-99addd1e0c78): Completed By:(74c1f64c-8200-4b1f-8b6c-2593744582ff), Date:(75c57348-fdd1-4fb4-b0a7-66246e370e10), Reviewed by:(a1abf918-251d-4cb8-a99e-904ff4567c9f), Date:(37cbb053-2395-40a3-aabe-985c860bf607)","work-in-progress","b6d6b7e79e3a550c8c33b9782639a86e233c192338a859e21f4493c1186c48f5","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WPC_Site Safety Inspection_AG_26062024"
"1e43ed97-3338-5b3a-a279-4306a63461d6","Child Reviews(cbc4d18e-2425-5231-9070-e04dff84c027) -- Reviewed & Signed(0bec6002-f124-57ef-8f1d-b8a3f2b803a3): Data not allowed on signoff Request Signature(e53cc4ea-6f2c-5d33-a07e-819f88aeb936): Completed By:(74c1f64c-8200-4b1f-8b6c-2593744582ff), Date:(75c57348-fdd1-4fb4-b0a7-66246e370e10), Reviewed by:(a1abf918-251d-4cb8-a99e-904ff4567c9f), Date:(37cbb053-2395-40a3-aabe-985c860bf607)","work-in-progress","57c6e5c3a78f27e5962155d8114e8338703cc21e49389fb3ddbac1426243b20b","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WREO_Site Safety inspection_AG_26062024"
"9ace4df3-f0f8-5166-b0dd-b6a1d71a08d0","Child Reviews(cb6ccf51-d8fc-5a2b-82a5-ea8c43c06b8d) -- Reviewed & Signed(66f5555f-319e-5601-8606-35145dedb2b6): Data not allowed on signoff Request Signature(1c42d7ec-27b5-516c-b6a5-a8848cfde19d): Completed By:(74c1f64c-8200-4b1f-8b6c-2593744582ff), Date:(75c57348-fdd1-4fb4-b0a7-66246e370e10), Reviewed by:(a1abf918-251d-4cb8-a99e-904ff4567c9f), Date:(37cbb053-2395-40a3-aabe-985c860bf607)","pass","b6d6b7e79e3a550c8c33b9782639a86e233c192338a859e21f4493c1186c48f5","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WPC_Site Safety Inspection_LP_08072024"
"103bf2d7-530d-560c-9d47-bb60df2e7b2e","Child Reviews(4d9154ad-09e6-5e0f-91b4-21a798b1e503) -- Reviewed & Signed(34daa5e4-7b6f-5765-bf19-213fe12ace5a): Data not allowed on signoff Request Signature(efeed52e-8dd1-588d-ad86-acef55c796b5): Completed By:(74c1f64c-8200-4b1f-8b6c-2593744582ff), Date:(75c57348-fdd1-4fb4-b0a7-66246e370e10), Reviewed by:(a1abf918-251d-4cb8-a99e-904ff4567c9f), Date:(37cbb053-2395-40a3-aabe-985c860bf607)","work-in-progress","57c6e5c3a78f27e5962155d8114e8338703cc21e49389fb3ddbac1426243b20b","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WREO_Site Safety inspection_LP_08072024"
"77d91b30-ebc4-5d8a-8f33-3180eeb6499f","","pass","65a4588df74f2d6f370e06eca29b6101f6d857cdff66ea95ce88e41f254fef93","checklist","FALSE","FALSE","MGMT Site Safety Inspections","2024","WPC_Site Safety Inspection_AD_11092024"
